episode_id,symbol,outcome,OUTCOME_EVENT_DATE,EVENT_SESSION_OFFSET,CHECKPOINT,OPEN_GAP_PCT,DRAWDOWN_FROM_OPEN_PCT,DRAWDOWN_FROM_PREV_CLOSE_PCT,CURRENT_RETURN_FROM_OPEN_PCT,CURRENT_RETURN_FROM_PREV_CLOSE_PCT,VWAP_STATE,DIST_TO_VWAP_PCT,VWAP_FIRST_RECLAIMED,VWAP_SECOND_RECLAIMED,VWAP_REBREAK_COUNT,VWAP_RECLAIM_COUNT,PREV_CLOSE_STATE,DIST_TO_PREV_CLOSE_PCT,S1_STATE,DIST_TO_S1_PCT,S1_TOUCHED_BY_CHECKPOINT,S1_FIRST_TOUCH_MIN,MINUTES_SINCE_S1_TOUCH,S1_REBREAK_AFTER_TOUCH,S1_REBREAK_COUNT,S1_RECLAIM_COUNT,S1_SECOND_RECLAIMED,OPEN_SHAKE_RECLAIMED,OPEN_RECLAIMED_NOW,NEW_LOW_AFTER_OPEN_RECLAIM,HIGH_FROM_OPEN_PCT,LOW_FROM_OPEN_PCT,TIME_OF_MORNING_LOW_MIN,HIGH_PROGRESSION_PCT,LOW_PROGRESSION_PCT,CUM_VOLUME,CUM_VOLUME_VS_CANDIDATE_DAY_SAME_FRACTION
000969:20260612:2446,000969,FAILED_BREAKOUT,2026-06-22,3.0,1030,5.1682,-1.5211,3.5685,-0.897,4.2248,BELOW,-1.6567,False,False,1,0,ABOVE,4.2248,BELOW,-2.9041,True,10.0,50.0,True,1,0,False,False,False,,2.9641,-1.5211,5,0.0,-0.5906,45534361.0,
000969:20260612:2446,000969,FAILED_BREAKOUT,2026-06-22,3.0,1130,5.1682,-1.5991,3.4865,-0.195,4.9631,BELOW,-0.6723,False,False,1,0,ABOVE,4.9631,BELOW,-2.2163,True,10.0,110.0,True,1,0,False,True,False,False,2.9641,-1.5991,90,0.0,0.0,56872429.0,
603519:20260612:1364,603519,FAILED_BREAKOUT,2026-06-17,2.0,0945,-0.2849,-0.7143,-0.9972,2.5714,2.2792,ABOVE,0.6737,False,False,0,0,ABOVE,2.2792,BELOW,-3.2345,False,,,False,0,0,False,False,True,,3.2143,-0.7143,5,,,2219344.0,
603519:20260612:1364,603519,FAILED_BREAKOUT,2026-06-17,2.0,1000,-0.2849,-0.7143,-0.9972,2.0714,1.7806,ABOVE,0.1129,False,False,0,0,ABOVE,1.7806,BELOW,-3.7062,False,,,False,0,0,False,False,True,,3.2143,-0.7143,5,0.208,-2.5929,2944844.0,
603519:20260612:1364,603519,FAILED_BREAKOUT,2026-06-17,2.0,1030,-0.2849,-0.7143,-0.9972,3.7143,3.4188,ABOVE,1.2903,False,False,0,0,ABOVE,3.4188,BELOW,-2.1563,False,,,False,0,0,False,False,True,,4.1429,-0.7143,5,0.0,-2.4561,4648044.0,
603519:20260612:1364,603519,FAILED_BREAKOUT,2026-06-17,2.0,1130,-0.2849,-0.7143,-0.9972,6.4286,6.1254,ABOVE,2.2768,False,False,0,0,ABOVE,6.1254,ABOVE,0.4043,True,80.0,40.0,False,0,0,False,False,True,,7.8571,-0.7143,5,0.0,-2.4561,8396660.0,
603318:20260611:985,603318,SUCCESS,2026-06-16,1.0,0945,0.0,-2.9647,-2.9647,0.4561,0.4561,ABOVE,1.11,False,False,0,0,ABOVE,0.4561,BELOW,-7.0675,False,,,False,0,0,False,False,True,,1.0262,-2.9647,5,,,9927811.0,
603318:20260611:985,603318,SUCCESS,2026-06-16,1.0,1000,0.0,-2.9647,-2.9647,0.4561,0.4561,ABOVE,0.8421,False,False,0,0,ABOVE,0.4561,BELOW,-7.0675,False,,,False,0,0,False,False,True,,1.0262,-2.9647,5,0.113,-2.6316,13228764.0,
603318:20260611:985,603318,SUCCESS,2026-06-16,1.0,1030,0.0,-2.9647,-2.9647,10.0342,10.0342,ABOVE,5.9929,False,False,0,0,ABOVE,10.0342,ABOVE,1.7932,True,60.0,0.0,False,0,0,False,False,True,,10.0342,-2.9647,5,2.1164,-2.6316,40225726.0,
603318:20260611:985,603318,SUCCESS,2026-06-16,1.0,1130,0.0,-2.9647,-2.9647,10.0342,10.0342,ABOVE,4.1872,False,False,0,0,ABOVE,10.0342,ABOVE,1.7932,True,60.0,60.0,False,0,0,False,False,True,,10.0342,-2.9647,5,0.0,-2.6316,58654791.0,
002927:20260612:2017,002927,FAILED_BREAKOUT,2026-06-18,3.0,0945,6.9238,-1.0176,5.8358,0.37,7.3195,ABOVE,0.0372,False,False,0,1,ABOVE,7.3195,BELOW,-6.0199,False,,,False,0,0,False,False,True,,1.6651,-1.0176,10,,,2987300.0,
002927:20260612:2017,002927,FAILED_BREAKOUT,2026-06-18,3.0,1000,6.9238,-1.0176,5.8358,6.0592,13.4026,ABOVE,3.5407,False,False,0,1,ABOVE,13.4026,BELOW,-0.6929,True,30.0,0.0,False,0,0,False,False,True,,7.308,-1.0176,10,3.9427,-0.9259,7769900.0,
002927:20260612:2017,002927,FAILED_BREAKOUT,2026-06-18,3.0,1030,6.9238,-1.0176,5.8358,5.7817,13.1058,ABOVE,1.6555,False,False,0,1,ABOVE,13.1058,BELOW,-0.9528,True,30.0,30.0,True,1,1,False,False,True,,8.4644,-1.0176,10,0.0,-0.9259,12783600.0,
002927:20260612:2017,002927,FAILED_BREAKOUT,2026-06-18,3.0,1130,6.9238,-1.0176,5.8358,4.9954,12.2651,ABOVE,0.7173,False,False,0,1,ABOVE,12.2651,BELOW,-1.689,True,30.0,90.0,True,1,1,False,False,True,,8.4644,-1.0176,10,0.0,-0.9259,15229000.0,
600601:20260612:1289,600601,FAILED_BREAKOUT,2026-06-16,1.0,0945,0.0,-1.2639,-1.2639,0.9665,0.9665,BELOW,-0.2055,False,False,1,0,ABOVE,0.9665,BELOW,-4.7686,False,,,False,0,0,False,False,True,,2.6022,-1.2639,5,,,56664562.0,
600601:20260612:1289,600601,FAILED_BREAKOUT,2026-06-16,1.0,1000,0.0,-1.2639,-1.2639,0.223,0.223,BELOW,-0.7806,True,False,2,1,ABOVE,0.223,BELOW,-5.4698,False,,,False,0,0,False,False,True,,2.6022,-1.2639,5,0.2179,-1.3373,82474208.0,
600601:20260612:1289,600601,FAILED_BREAKOUT,2026-06-16,1.0,1030,0.0,-1.2639,-1.2639,1.1896,1.1896,ABOVE,0.3522,True,True,3,3,ABOVE,1.1896,BELOW,-4.5582,False,,,False,0,0,False,True,True,False,2.6022,-1.2639,5,0.2179,-0.8215,114409861.0,
600601:20260612:1289,600601,FAILED_BREAKOUT,2026-06-16,1.0,1130,0.0,-1.2639,-1.2639,6.0967,6.0967,ABOVE,3.4763,True,True,3,3,ABOVE,6.0967,ABOVE,0.0701,True,100.0,20.0,False,0,1,False,True,True,False,7.0632,-1.2639,5,0.0,-0.8215,215950673.0,
603936:20260611:2372,603936,SUCCESS,2026-06-17,2.0,0945,-0.8811,0.0,-0.8811,6.7475,5.807,ABOVE,1.4349,False,False,0,0,ABOVE,5.807,ABOVE,2.6817,True,5.0,10.0,False,0,0,False,False,True,,7.8788,0.0,5,,,14338125.0,
603936:20260611:2372,603936,SUCCESS,2026-06-17,2.0,1000,-0.8811,0.0,-0.8811,5.8182,4.8859,ABOVE,0.4484,True,False,1,1,ABOVE,4.8859,ABOVE,1.7878,True,5.0,25.0,False,0,0,False,False,True,,7.8788,0.0,5,1.0216,-4.6243,19585605.0,
603936:20260611:2372,603936,SUCCESS,2026-06-17,2.0,1030,-0.8811,0.0,-0.8811,8.2828,7.3288,ABOVE,2.0172,True,False,1,1,ABOVE,7.3288,ABOVE,4.1586,True,5.0,55.0,False,0,0,False,False,True,,8.8889,0.0,5,0.0,-4.5875,30263850.0,
603936:20260611:2372,603936,SUCCESS,2026-06-17,2.0,1130,-0.8811,0.0,-0.8811,6.3838,5.4465,BELOW,-0.4082,True,False,2,1,ABOVE,5.4465,ABOVE,2.3319,True,5.0,115.0,False,0,0,False,False,True,,11.0707,0.0,5,0.0,-4.5875,44401102.0,
002208:20260610:1674,002208,SUCCESS,2026-06-17,2.0,0945,0.304,-1.5152,-1.2158,0.4848,0.7903,ABOVE,1.3446,False,False,0,1,ABOVE,0.7903,BELOW,-5.6883,False,,,False,0,0,False,True,True,False,0.4848,-1.5152,5,,,10523700.0,
002208:20260610:1674,002208,SUCCESS,2026-06-17,2.0,1000,0.304,-1.5152,-1.2158,0.8485,1.155,ABOVE,0.9427,False,False,0,1,ABOVE,1.155,BELOW,-5.347,False,,,False,0,0,False,True,True,False,2.0,-1.5152,5,0.0,-0.4289,17273500.0,
002208:20260610:1674,002208,SUCCESS,2026-06-17,2.0,1030,0.304,-1.5152,-1.2158,1.5758,1.8845,ABOVE,1.207,False,False,0,1,ABOVE,1.8845,BELOW,-4.6644,False,,,False,0,0,False,True,True,False,2.1212,-1.5152,5,0.0,-0.4289,24565200.0,
002208:20260610:1674,002208,SUCCESS,2026-06-17,2.0,1130,0.304,-1.5152,-1.2158,1.8788,2.1884,ABOVE,0.9765,False,False,0,1,ABOVE,2.1884,BELOW,-4.38,False,,,False,0,0,False,True,True,False,2.9091,-1.5152,5,0.0,-0.4289,37518600.0,
600497:20260612:928,600497,FAILED_BREAKOUT,2026-06-22,3.0,0945,6.3555,-1.4939,4.7666,5.6022,12.3138,ABOVE,2.0841,False,False,0,0,ABOVE,12.3138,ABOVE,5.5037,True,5.0,10.0,False,0,0,False,False,True,,5.6022,-1.4939,5,,,168918821.0,
600497:20260612:928,600497,FAILED_BREAKOUT,2026-06-22,3.0,1000,6.3555,-1.4939,4.7666,5.6022,12.3138,ABOVE,1.9502,False,False,0,0,ABOVE,12.3138,ABOVE,5.5037,True,5.0,25.0,False,0,0,False,False,True,,5.6022,-1.4939,5,0.0,-5.9715,180280619.0,
600497:20260612:928,600497,FAILED_BREAKOUT,2026-06-22,3.0,1030,6.3555,-1.4939,4.7666,5.6022,12.3138,ABOVE,1.8491,False,False,0,0,ABOVE,12.3138,ABOVE,5.5037,True,5.0,55.0,False,0,0,False,False,True,,5.6022,-1.4939,5,0.0,-5.9715,189948733.0,
600497:20260612:928,600497,FAILED_BREAKOUT,2026-06-22,3.0,1130,6.3555,-1.4939,4.7666,5.6022,12.3138,ABOVE,1.3999,False,False,0,0,ABOVE,12.3138,ABOVE,5.5037,True,5.0,115.0,False,0,0,False,False,True,,5.6022,-1.4939,5,0.0,-5.9715,251674390.0,
002745:20260615:1025,002745,SUCCESS,2026-06-17,1.0,0945,-0.3763,-0.8499,-1.223,2.1719,1.7874,BELOW,-0.0469,False,False,1,0,ABOVE,1.7874,BELOW,-3.3929,False,,,False,0,0,False,False,True,,3.7771,-0.8499,5,,,27320204.0,
002745:20260615:1025,002745,SUCCESS,2026-06-17,1.0,1000,-0.3763,-0.8499,-1.223,2.9273,2.54,ABOVE,0.628,True,False,1,1,ABOVE,2.54,BELOW,-2.6786,False,,,False,0,0,False,False,True,,3.7771,-0.8499,5,0.641,-2.3256,36107736.0,
002745:20260615:1025,002745,SUCCESS,2026-06-17,1.0,1030,-0.3763,-0.8499,-1.223,3.3994,3.0103,ABOVE,0.8616,True,False,1,1,ABOVE,3.0103,BELOW,-2.2321,False,,,False,0,0,False,False,True,,3.966,-0.8499,5,0.0,-2.3256,49424836.0,
002745:20260615:1025,002745,SUCCESS,2026-06-17,1.0,1130,-0.3763,-0.8499,-1.223,3.966,3.5748,ABOVE,0.9293,True,False,1,1,ABOVE,3.5748,BELOW,-1.6964,False,,,False,0,0,False,False,True,,5.288,-0.8499,5,0.0,-2.3256,71509336.0,
000070:20260615:1881,000070,SUCCESS,2026-06-17,1.0,0945,-2.5141,0.0,-2.5141,0.8421,-1.6932,BELOW,-0.0701,False,False,1,1,BELOW,-1.6932,BELOW,-5.9863,False,,,False,0,0,False,False,True,,2.2105,0.0,5,,,16299391.0,
000070:20260615:1881,000070,SUCCESS,2026-06-17,1.0,1000,-2.5141,0.0,-2.5141,2.0526,-0.5131,ABOVE,0.805,True,False,1,2,BELOW,-0.5131,BELOW,-4.8577,False,,,False,0,0,False,False,True,,2.5789,0.0,5,0.3088,-0.7315,25189231.0,
000070:20260615:1881,000070,SUCCESS,2026-06-17,1.0,1030,-2.5141,0.0,-2.5141,2.3158,-0.2565,ABOVE,0.4513,True,False,1,2,BELOW,-0.2565,BELOW,-4.6124,False,,,False,0,0,False,False,True,,3.7895,0.0,5,0.0,-0.7315,41976631.0,
000070:20260615:1881,000070,SUCCESS,2026-06-17,1.0,1130,-2.5141,0.0,-2.5141,5.6316,2.9759,ABOVE,2.1491,True,False,1,2,ABOVE,2.9759,BELOW,-1.5211,False,,,False,0,0,False,False,True,,7.1579,0.0,5,0.0,-0.7315,80960771.0,
002174:20260615:1109,002174,FAILED_BREAKOUT,2026-06-22,3.0,0945,-1.692,-0.8606,-2.5381,2.2375,0.5076,ABOVE,0.537,False,False,0,0,ABOVE,0.5076,BELOW,-3.0204,False,,,False,0,0,False,False,True,,3.2702,-0.8606,5,,,12095998.0,
002174:20260615:1109,002174,FAILED_BREAKOUT,2026-06-22,3.0,1000,-1.692,-0.8606,-2.5381,1.2048,-0.5076,BELOW,-0.492,False,False,1,0,BELOW,-0.5076,BELOW,-4.0,False,,,False,0,0,False,False,True,,3.2702,-0.8606,5,0.5025,-2.2071,15925598.0,
002174:20260615:1109,002174,FAILED_BREAKOUT,2026-06-22,3.0,1030,-1.692,-0.8606,-2.5381,0.5164,-1.1844,BELOW,-0.873,False,False,1,0,BELOW,-1.1844,BELOW,-4.6531,False,,,False,0,0,False,False,True,,3.2702,-0.8606,5,0.5025,-0.6897,21918398.0,
002174:20260615:1109,002174,FAILED_BREAKOUT,2026-06-22,3.0,1130,-1.692,-0.8606,-2.5381,0.0,-1.692,BELOW,-1.1345,False,False,1,0,BELOW,-1.692,BELOW,-5.1429,False,,,False,0,0,False,True,True,False,3.2702,-0.8606,5,0.5025,-0.346,26502498.0,
000593:20260615:2267,000593,FAILED_BREAKOUT,2026-06-18,2.0,0945,4.8822,-0.8828,3.9562,3.1701,8.2071,ABOVE,1.0542,False,False,0,0,ABOVE,8.2071,ABOVE,0.2339,True,10.0,5.0,False,0,0,False,False,True,,5.5377,-0.8828,5,,,5969121.0,
000593:20260615:2267,000593,FAILED_BREAKOUT,2026-06-18,2.0,1000,4.8822,-0.8828,3.9562,2.809,7.8283,ABOVE,0.4673,False,False,0,0,ABOVE,7.8283,BELOW,-0.117,True,10.0,20.0,True,2,1,True,False,True,,5.5377,-0.8828,5,1.1538,-2.7942,8012521.0,
