episode_id,symbol,outcome,OUTCOME_EVENT_DATE,EVENT_SESSION_OFFSET,fetch_status,bar_count,first_timestamp,last_timestamp,monotonic,duplicate_ts,ohlc_valid,max_gap_min,READY_0945,READY_1000,READY_1030,READY_1130,FULL_SESSION_COMPLETE,has_pm_session,has_close_session,INTRADAY_DAILY_MISMATCH,mismatch_detail,daily_high,minute_high,daily_close,minute_close,daily_s1_ok,data_source,5m_fetch_status,5m_has_data,5m_bar_count,5M_READY_0945,5M_READY_1000,5M_READY_1030,5M_READY_1130,5M_FULL_SESSION_COMPLETE
603637:20260617:1827,603637,FAILED_BREAKOUT,2026-06-22,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,20.32,,20.22,,True,NONE,OK,True,48,True,True,True,True,True
603042:20260616:2097,603042,SUCCESS,2026-06-22,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,21.7,,21.7,,True,NONE,OK,True,48,True,True,True,True,True
002885:20260616:4329,002885,FAILED_BREAKOUT,2026-06-23,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,48.5,,45.85,,True,NONE,OK,True,48,True,True,True,True,True
605069:20260611:1155,605069,FAILED_BREAKOUT,2026-06-22,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,12.18,,12.18,,True,NONE,OK,True,48,True,True,True,True,True
000050:20260617:914,000050,FAILED_BREAKOUT,2026-06-22,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,9.5,,9.28,,True,NONE,OK,True,48,True,True,True,True,True
002346:20260616:1801,002346,FAILED_BREAKOUT,2026-06-22,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,20.27,,20.27,,True,NONE,OK,True,48,True,True,True,True,True
002830:20260612:1676,002830,SUCCESS,2026-06-22,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,16.15,,16.15,,True,NONE,OK,True,48,True,True,True,True,True
002317:20260618:2290,002317,FAILED_BREAKOUT,2026-06-25,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,24.0,,23.61,,True,NONE,OK,True,48,True,True,True,True,True
002442:20260618:548,002442,FAILED_BREAKOUT,2026-06-23,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,6.1,,5.85,,True,NONE,OK,True,48,True,True,True,True,True
603127:20260618:3566,603127,FAILED_BREAKOUT,2026-06-23,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,38.28,,36.53,,True,NONE,OK,True,48,True,True,True,True,True
603929:20260617:23218,603929,FAILED_BREAKOUT,2026-06-25,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,255.07,,255.07,,True,NONE,OK,True,48,True,True,True,True,True
