episode_id,symbol,candidate_date,CHECKPOINT,volume_pace,abs_session_low,session_range,session_low_price,session_high_price
603637:20260617:1827,603637,2026-06-18,1000,0.9007772207,0.0,4.6524,18.27,19.12
603042:20260616:2097,603042,2026-06-18,0945,0.6933862478,0.6369,4.4444,20.28,21.2
603042:20260616:2097,603042,2026-06-18,1000,0.6776754599,0.6369,4.4444,20.28,21.2
002885:20260616:4329,002885,2026-06-18,0945,0.5399892438,0.7089,3.0453,42.02,43.31
002885:20260616:4329,002885,2026-06-18,1000,0.5296305582,0.7089,3.0453,42.02,43.31
605069:20260611:1155,605069,2026-06-18,0945,1.6670391913,0.7421,8.1308,10.7,11.57
605069:20260611:1155,605069,2026-06-18,1000,2.531222407,0.7421,10.8411,10.7,11.86
000050:20260617:914,000050,2026-06-18,0945,1.4310170837,3.7199,3.5556,8.8,9.12
000050:20260617:914,000050,2026-06-18,1000,1.6498515243,3.9387,3.7778,8.78,9.12
002927:20260616:2224,002927,2026-06-18,0945,0.3856571133,1.9248,2.6827,21.4,21.98
002927:20260616:2224,002927,2026-06-18,1000,0.7739792208,1.9248,8.3256,21.4,23.2
002346:20260616:1801,002346,2026-06-18,0945,0.5837904586,0.3819,3.2,18.4,19.0
002346:20260616:1801,002346,2026-06-18,1000,0.6887892927,0.3273,3.8933,18.27,19.0
002830:20260612:1676,002830,2026-06-18,0945,1.2139611361,7.6818,7.3038,13.58,14.65
002830:20260612:1676,002830,2026-06-18,1000,0.9162407688,7.6818,7.3038,13.58,14.65
002317:20260618:2290,002317,2026-06-22,0945,3.0482799351,7.8603,7.4271,21.1,22.78
002317:20260618:2290,002317,2026-06-22,1000,2.7615509395,7.8603,7.4271,21.1,22.78
002442:20260618:548,002442,2026-06-22,0945,1.3793241385,4.1971,4.3796,5.25,5.49
002442:20260618:548,002442,2026-06-22,1000,1.2422037849,4.1971,4.3796,5.25,5.49
603127:20260618:3566,603127,2026-06-22,0945,4.051701871,3.1408,3.5684,34.54,35.79
603127:20260618:3566,603127,2026-06-22,1000,1.9843877552,3.281,3.7111,34.49,35.79
603929:20260617:23218,603929,2026-06-22,0945,0.6470541791,1.1693,4.2908,213.0,222.22
603929:20260617:23218,603929,2026-06-22,1000,0.5617699121,1.6286,4.7515,212.01,222.22
600026:20260617:1969,600026,2026-06-22,0945,0.7797615785,3.886,5.483,18.55,19.6
600026:20260617:1969,600026,2026-06-22,1000,0.8966279947,3.886,6.7885,18.55,19.85
601872:20260622:1885,601872,2026-06-23,0945,1.2446988232,0.2653,4.2717,18.9,19.73
601872:20260622:1885,601872,2026-06-23,1000,1.18411057,0.2653,5.5069,18.9,19.97
000833:20260622:2413,000833,2026-06-23,0945,3.2031668729,0.0,3.895,24.13,25.08
000833:20260622:2413,000833,2026-06-23,1000,3.2113260915,0.0,5.0841,24.13,25.37
002885:20260622:4687,002885,2026-06-23,0945,0.7470541805,4.6512,3.4211,44.69,46.25
002885:20260622:4687,002885,2026-06-23,1000,0.8836108981,4.6512,3.4211,44.69,46.25
002392:20260618:881,002392,2026-06-23,0945,0.6977281265,1.199,4.1766,8.24,8.59
002392:20260618:881,002392,2026-06-23,1000,0.6999319474,1.199,4.1766,8.24,8.59
603629:20260622:19424,603629,2026-06-23,0945,1.041165947,2.4403,6.3586,189.5,201.9
603629:20260622:19424,603629,2026-06-23,1000,1.1079616525,4.757,8.6662,185.0,201.9
002601:20260622:1703,002601,2026-06-23,0945,0.6759381161,1.8203,4.4237,16.72,17.48
002601:20260622:1703,002601,2026-06-23,1000,0.7229722961,1.8203,4.4237,16.72,17.48
002440:20260622:1099,002440,2026-06-23,0945,1.4779261748,0.182,4.6429,10.97,11.49
002440:20260622:1099,002440,2026-06-23,1000,1.4133793025,0.182,4.6429,10.97,11.49
600488:20260623:497,600488,2026-06-24,0945,1.5323460008,4.2254,8.2136,4.76,5.16
600488:20260623:497,600488,2026-06-24,1000,1.5685769629,4.2254,11.7043,4.76,5.33
600531:20260622:1481,600531,2026-06-24,0945,0.6315364141,0.0,6.7568,14.44,15.44
600531:20260622:1481,600531,2026-06-24,1000,0.6427279746,0.0,6.7568,14.44,15.44
002728:20260623:882,002728,2026-06-24,0945,1.7569861801,1.8141,4.7727,8.66,9.08
002728:20260623:882,002728,2026-06-24,1000,2.4431073559,1.8141,6.7045,8.66,9.25
000756:20260623:1344,000756,2026-06-24,0945,3.5972473652,4.1667,5.5437,14.0,14.78
000756:20260623:1344,000756,2026-06-24,1000,4.2670416123,4.1667,5.5437,14.0,14.78
600708:20260623:329,600708,2026-06-24,0945,1.9927146609,3.0395,6.7073,3.19,3.41
600708:20260623:329,600708,2026-06-24,1000,1.8466376277,3.0395,6.7073,3.19,3.41
603661:20260622:3573,603661,2026-06-24,0945,0.4167249596,5.4852,4.8433,33.6,35.3
