episode_id,symbol,anchor_date,candidate_date,outcome_event_date,s1_price,current_outcome,s1_source,s1_source_sha,event_date_source,event_date_source_sha,asl_5m_status
002378:20260611:3363,002378,2026-06-11,2026-06-12,2026-06-16,38.02,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002842:20260611:3934,002842,2026-06-11,2026-06-12,2026-06-17,45.3,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002428:20260611:8824,002428,2026-06-11,2026-06-12,2026-06-15,95.55,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603315:20260611:1650,603315,2026-06-11,2026-06-12,2026-06-16,17.38,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
000815:20260610:1687,000815,2026-06-10,2026-06-15,2026-06-16,16.46,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
001360:20260612:1874,001360,2026-06-12,2026-06-15,2026-06-16,21.36,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002997:20260612:2938,002997,2026-06-12,2026-06-15,2026-06-17,30.77,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600667:20260611:1751,600667,2026-06-11,2026-06-15,2026-06-17,18.86,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002965:20260611:3854,002965,2026-06-11,2026-06-15,2026-06-16,41.99,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
000969:20260612:2446,000969,2026-06-12,2026-06-15,2026-06-22,26.17,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603519:20260612:1364,603519,2026-06-12,2026-06-15,2026-06-17,14.84,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603318:20260611:985,603318,2026-06-11,2026-06-15,2026-06-16,9.48,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002927:20260612:2017,002927,2026-06-12,2026-06-15,2026-06-18,23.09,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600601:20260612:1289,600601,2026-06-12,2026-06-15,2026-06-16,14.26,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603936:20260611:2372,603936,2026-06-11,2026-06-15,2026-06-17,25.73,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002208:20260610:1674,002208,2026-06-10,2026-06-15,2026-06-17,17.58,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600497:20260612:928,600497,2026-06-12,2026-06-16,2026-06-22,10.72,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002745:20260615:1025,002745,2026-06-15,2026-06-16,2026-06-17,11.2,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
000070:20260615:1881,000070,2026-06-15,2026-06-16,2026-06-17,20.38,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002174:20260615:1109,002174,2026-06-15,2026-06-16,2026-06-22,12.25,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
000593:20260615:2267,000593,2026-06-15,2026-06-16,2026-06-18,25.65,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002106:20260615:1338,002106,2026-06-15,2026-06-16,2026-06-18,14.06,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
