feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi
pullback_min_vol_ratio,ALL_CONTROL,409,8095,0.9436,0.7398,1.3826,1.1324,0.8122,1.643,-0.1888,0.1619,-0.2402,-0.132
pullback_avg_vol_ratio,FAILED_BREAKOUT,409,950,1.1674,0.9194,1.5669,1.2628,0.9912,1.7669,-0.0954,0.1348,-0.186,-0.0391
pullback_avg_vol_ratio,NO_LAUNCH,409,1730,1.1674,0.9194,1.5669,1.2315,0.9375,1.711,-0.0641,0.0683,-0.1414,-0.0022
pullback_avg_vol_ratio,STRUCTURE_FAIL,409,5415,1.1674,0.9194,1.5669,1.314,1.0068,1.8634,-0.1466,0.1707,-0.226,-0.0978
pullback_avg_vol_ratio,ALL_CONTROL,409,8095,1.1674,0.9194,1.5669,1.2895,0.9894,1.8186,-0.1221,0.1446,-0.1935,-0.0715
d0_vol_ma5vol_ratio,FAILED_BREAKOUT,409,950,1.1157,0.907,1.5409,1.2936,0.9711,1.7481,-0.1779,0.1518,-0.2524,-0.0873
d0_vol_ma5vol_ratio,NO_LAUNCH,409,1730,1.1157,0.907,1.5409,1.1951,0.8843,1.7053,-0.0794,0.0536,-0.1439,0.018
d0_vol_ma5vol_ratio,STRUCTURE_FAIL,409,5415,1.1157,0.907,1.5409,1.2495,0.9476,1.7143,-0.1338,0.1231,-0.1957,-0.0614
d0_vol_ma5vol_ratio,ALL_CONTROL,409,8095,1.1157,0.907,1.5409,1.2431,0.9383,1.7174,-0.1274,0.1116,-0.1847,-0.0584
d0_vol_d1_vol_ratio,FAILED_BREAKOUT,409,950,0.744,0.5858,1.1531,0.9059,0.6561,1.3837,-0.1619,0.1859,-0.2401,-0.083
d0_vol_d1_vol_ratio,NO_LAUNCH,409,1730,0.744,0.5858,1.1531,0.7984,0.5968,1.2905,-0.0544,0.074,-0.1142,0.015
d0_vol_d1_vol_ratio,STRUCTURE_FAIL,409,5415,0.744,0.5858,1.1531,0.8865,0.6421,1.4423,-0.1425,0.1772,-0.2011,-0.079
d0_vol_d1_vol_ratio,ALL_CONTROL,409,8095,0.744,0.5858,1.1531,0.8633,0.6322,1.4049,-0.1193,0.1562,-0.1728,-0.059
largest_down_day_return_pct,FAILED_BREAKOUT,240,459,-0.9543,-2.7251,0.9348,-0.527,-2.9326,1.0754,-0.4273,0.0153,-0.8492,0.0454
largest_down_day_return_pct,NO_LAUNCH,240,967,-0.9543,-2.7251,0.9348,-1.8564,-4.6011,0.1245,0.9021,-0.2267,0.5529,1.5112
largest_down_day_return_pct,STRUCTURE_FAIL,240,2870,-0.9543,-2.7251,0.9348,-1.504,-3.8321,0.8522,0.5497,-0.1221,0.2646,1.0638
largest_down_day_return_pct,ALL_CONTROL,240,4296,-0.9543,-2.7251,0.9348,-1.4868,-3.9072,0.7145,0.5325,-0.131,0.2857,1.036
largest_intraday_drawdown_day_pct,FAILED_BREAKOUT,409,950,6.2284,4.7758,8.0851,6.601,4.9013,8.646,-0.3726,0.0695,-0.7655,-0.0666
largest_intraday_drawdown_day_pct,NO_LAUNCH,409,1730,6.2284,4.7758,8.0851,6.4758,4.6696,8.9302,-0.2474,0.0492,-0.6084,0.0192
largest_intraday_drawdown_day_pct,STRUCTURE_FAIL,409,5415,6.2284,4.7758,8.0851,7.3529,5.5042,9.4466,-1.1245,0.2096,-1.4662,-0.8397
largest_intraday_drawdown_day_pct,ALL_CONTROL,409,8095,6.2284,4.7758,8.0851,7.1212,5.2269,9.24,-0.8928,0.1589,-1.1813,-0.6888
largest_volume_down_day_ratio,FAILED_BREAKOUT,240,459,0.8685,0.6862,1.2228,1.0031,0.7547,1.3786,-0.1346,0.1495,-0.1913,-0.062
largest_volume_down_day_ratio,NO_LAUNCH,240,967,0.8685,0.6862,1.2228,0.9013,0.6815,1.2886,-0.0328,0.0218,-0.0767,0.0344
largest_volume_down_day_ratio,STRUCTURE_FAIL,240,2870,0.8685,0.6862,1.2228,0.9904,0.7454,1.3758,-0.1219,0.1334,-0.165,-0.0578
largest_volume_down_day_ratio,ALL_CONTROL,240,4296,0.8685,0.6862,1.2228,0.9657,0.7282,1.3526,-0.0971,0.11,-0.1441,-0.0411
price_recovery_pct,FAILED_BREAKOUT,240,459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4553,0.0,0.0
price_recovery_pct,NO_LAUNCH,240,967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2661,0.0,0.0
price_recovery_pct,STRUCTURE_FAIL,240,2870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2802,0.0,0.0
price_recovery_pct,ALL_CONTROL,240,4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2616,0.0,0.0
days_to_recover_damage_midpoint,FAILED_BREAKOUT,11,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.28,0.0,0.0
days_to_recover_damage_midpoint,NO_LAUNCH,11,44,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
days_to_recover_damage_midpoint,STRUCTURE_FAIL,11,139,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.1524,0.0,0.0
days_to_recover_damage_midpoint,ALL_CONTROL,11,208,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.1224,0.0,0.0
damage_open,FAILED_BREAKOUT,240,459,11.5,7.69,22.4775,12.83,6.67,25.48,-1.33,0.0239,-3.4936,1.2146
damage_open,NO_LAUNCH,240,967,11.5,7.69,22.4775,11.14,6.505,19.69,0.36,-0.07,-1.3134,2.8534
damage_open,STRUCTURE_FAIL,240,2870,11.5,7.69,22.4775,11.6,6.56,19.74,-0.1,-0.0561,-1.4641,2.0757
damage_open,ALL_CONTROL,240,4296,11.5,7.69,22.4775,11.6,6.5575,20.27,-0.1,-0.0507,-1.2939,2.4627
damage_close,FAILED_BREAKOUT,240,459,11.5,7.71,22.47,12.6,6.56,25.595,-1.1,0.0239,-3.5629,1.3835
damage_close,NO_LAUNCH,240,967,11.5,7.71,22.47,11.02,6.365,19.39,0.48,-0.0792,-1.0652,3.1925
damage_close,STRUCTURE_FAIL,240,2870,11.5,7.71,22.47,11.435,6.5025,19.6175,0.065,-0.0595,-1.3653,2.3426
damage_close,ALL_CONTROL,240,4296,11.5,7.71,22.47,11.4,6.44,19.9125,0.1,-0.055,-1.2076,2.5986
low_d0,FAILED_BREAKOUT,409,950,11.74,7.43,21.51,12.94,6.7225,23.405,-1.2,0.0312,-2.82,0.9802
low_d0,NO_LAUNCH,409,1730,11.74,7.43,21.51,11.585,6.445,20.235,0.155,-0.0462,-1.1626,2.1329
low_d0,STRUCTURE_FAIL,409,5415,11.74,7.43,21.51,11.3,6.33,20.1,0.44,-0.0536,-0.75,2.0452
low_d0,ALL_CONTROL,409,8095,11.74,7.43,21.51,11.55,6.41,20.4,0.19,-0.042,-1.0905,2.0562
low_d1,FAILED_BREAKOUT,409,950,11.7,7.38,21.71,12.2,6.78,22.7175,-0.5,0.0245,-2.3113,0.9705
