setup_id,code,anchor_date,anchor_price,anchor_source,profile,limit_price,is_first_board,recent_limit_count,recent_limits_non_consecutive,seal_before_cutoff,snapshot_id,strategy_commit,strategy_config_hash
603075:20240105:2649,603075,2024-01-05,26.49,PRICE_ONLY,PRICE_ONLY,26.49,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603177:20240105:1373,603177,2024-01-05,13.73,PRICE_ONLY,PRICE_ONLY,13.73,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603709:20240105:2081,603709,2024-01-05,20.81,PRICE_ONLY,PRICE_ONLY,20.81,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
605158:20240105:855,605158,2024-01-05,8.55,PRICE_ONLY,PRICE_ONLY,8.55,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
000715:20240108:837,000715,2024-01-08,8.37,PRICE_ONLY,PRICE_ONLY,8.37,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002177:20240108:527,002177,2024-01-08,5.27,PRICE_ONLY,PRICE_ONLY,5.27,True,2,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002197:20240108:1104,002197,2024-01-08,11.04,PRICE_ONLY,PRICE_ONLY,11.04,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002337:20240108:608,002337,2024-01-08,6.08,PRICE_ONLY,PRICE_ONLY,6.08,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002347:20240108:672,002347,2024-01-08,6.72,PRICE_ONLY,PRICE_ONLY,6.72,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002395:20240108:2152,002395,2024-01-08,21.52,PRICE_ONLY,PRICE_ONLY,21.52,True,2,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
