episode_id,symbol,anchor_date,candidate_date,frozen_pattern_3d,recomputed_pattern_3d,frozen_outcome_3d,recomputed_outcome_3d,frozen_outcome_reason,recomputed_outcome_reason,s1_price,invalid_price,first_s1_touch_date,first_invalid_touch_date,conflict_class,candidate_row_reconciliation_status,event_row_reconciliation_status,feature_snapshot_id,feature_snapshot_hash,episode_snapshot_id
603217:20260326:2468,603217,2026-03-26,2026-03-27,INVALID_BEFORE_S1,AMBIGUOUS,STRUCTURE_FAIL,UNKNOWN,invalid first within 3 sessions,pattern AMBIGUOUS (same-day S1/invalid order unknown),25.91,24.56,2026-03-31,2026-03-31,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603938:20260325:2444,603938,2026-03-25,2026-03-27,S1_BEFORE_INVALID,NEITHER,UNKNOWN,NO_LAUNCH,S1_BEFORE_INVALID flagged but no S1-touch bar found,no S1 and no invalid touch within 3 sessions,27.81,23.12,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
601975:20260324:483,601975,2026-03-24,2026-03-27,S1_BEFORE_INVALID,NEITHER,UNKNOWN,NO_LAUNCH,S1_BEFORE_INVALID flagged but no S1-touch bar found,no S1 and no invalid touch within 3 sessions,4.94,4.09,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603629:20260325:6268,603629,2026-03-25,2026-03-27,S1_BEFORE_INVALID,INVALID_BEFORE_S1,FAILED_BREAKOUT,STRUCTURE_FAIL,S1 touched but close 65.87 < S1 68.29,invalid first within 3 sessions,68.29,62.37,2026-04-01,2026-03-31,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002692:20260326:598,002692,2026-03-26,2026-03-27,S1_BEFORE_INVALID,NEITHER,UNKNOWN,NO_LAUNCH,S1_BEFORE_INVALID flagged but no S1-touch bar found,no S1 and no invalid touch within 3 sessions,6.46,5.64,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603042:20260325:2125,603042,2026-03-25,2026-03-27,S1_BEFORE_INVALID,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,S1_BEFORE_INVALID flagged but no S1-touch bar found,invalid first within 3 sessions,21.6,19.86,,2026-03-31,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
000889:20260325:354,000889,2026-03-25,2026-03-27,S1_BEFORE_INVALID,NEITHER,UNKNOWN,NO_LAUNCH,S1_BEFORE_INVALID flagged but no S1-touch bar found,no S1 and no invalid touch within 3 sessions,3.67,3.3,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603052:20260325:6565,603052,2026-03-25,2026-03-27,NEITHER,INVALID_BEFORE_S1,NO_LAUNCH,STRUCTURE_FAIL,no S1 and no invalid touch within 3 sessions,invalid first within 3 sessions,68.0,61.85,2026-04-01,2026-03-31,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
000659:20260325:417,000659,2026-03-25,2026-03-27,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,4.74,4.15,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603132:20260327:1673,603132,2026-03-27,2026-03-30,S1_BEFORE_INVALID,NEITHER,UNKNOWN,NO_LAUNCH,S1_BEFORE_INVALID flagged but no S1-touch bar found,no S1 and no invalid touch within 3 sessions,17.86,16.41,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
