episode_id,symbol,name,anchor_date,candidate_date,outcome_3d,outcome_reason_3d,outcome_5d,outcome_reason_5d,time_to_s1_10d,time_to_invalid_10d,first_event_type_10d,first_event_date_10d,window_incomplete_5d,window_incomplete_10d,first_event_right_censored_10d,candidate_reconciliation_status,feature_3d_has_provisional,label_5d_has_provisional,s1_price,invalid_price,data_quality,quality_flags,feature_snapshot_id,label_snapshot_id_5d
600756:20240702:1115,600756,浪潮软件,2024-07-02,2024-07-04,FAILED_BREAKOUT,S1 touched but close 11.00 < S1 11.35,FAILED_BREAKOUT,FAILED_ACCEPTANCE: S1 touched but close 11.00 < S1 11.35,1.0,2.0,S1_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,11.35,10.56,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000668:20240702:689,000668,荣丰控股,2024-07-02,2024-07-04,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,7.3,6.21,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
603239:20240702:1566,603239,,2024-07-02,2024-07-04,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,16.31,14.65,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002561:20240703:780,002561,,2024-07-03,2024-07-04,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,8.05,7.45,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600712:20240703:374,600712,南宁百货,2024-07-03,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,3.87,3.52,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
601888:20240703:6799,601888,,2024-07-03,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,8.0,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,70.51,63.69,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600859:20240703:1287,600859,,2024-07-03,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,4.0,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,13.82,13.18,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000812:20240703:411,000812,,2024-07-03,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,3.99,3.8,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000715:20240703:538,000715,,2024-07-03,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,5.69,5.04,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000820:20240702:223,000820,神雾节能,2024-07-02,2024-07-05,UNKNOWN,pattern_3d AMBIGUOUS (same-day S1/invalid order unknown),UNKNOWN,pattern AMBIGUOUS (same-day S1/invalid order unknown),1.0,1.0,AMBIGUOUS,2024-07-08,False,False,False,CONFIRMED,False,False,2.37,2.13,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600280:20240703:255,600280,,2024-07-03,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,2.74,2.43,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
