CHECKPOINT,stratum,group,feature,success_n,control_n,success_median,control_median,rank_biserial
1000,Q4,FAILED_BREAKOUT,session_low_pct_vs_prev_close,11,29,-2.3941,-3.3467,-0.3041
1000,Q4,FAILED_BREAKOUT,D1_upper_shadow_pct,11,29,1.8331,0.4105,-0.1003
1000,Q4,STRUCTURE_FAIL,price_to_s1_pct,11,9,-5.0,-6.6917,-0.3939
1000,Q4,STRUCTURE_FAIL,s1_reject_count_so_far,11,9,0.0,0.0,0.0
1000,Q4,STRUCTURE_FAIL,support_reclaimed_so_far,11,9,0.0,0.0,-0.3434
1000,Q4,STRUCTURE_FAIL,recovery_from_session_low_pct,11,9,2.1696,0.8617,-0.2828
1000,Q4,STRUCTURE_FAIL,price_vs_vwap_pct,11,9,-0.1887,-0.6763,-0.3535
1000,Q4,STRUCTURE_FAIL,close_location_so_far,11,9,0.478,0.25,-0.3434
1000,Q4,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,11,9,0.0,0.0,0.0808
1000,Q4,STRUCTURE_FAIL,pullback_volume_dry_up_pre_D0,6,5,1.1101,0.9423,-0.3333
1000,Q4,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,11,9,0.2563,0.4035,0.5354
1000,Q4,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,11,9,0.3336,0.3742,0.3333
1000,Q4,STRUCTURE_FAIL,session_range_pct,11,9,4.0929,4.2484,0.2323
1000,Q4,STRUCTURE_FAIL,session_low_pct_vs_prev_close,11,9,-2.3941,-4.2105,-0.4747
1000,Q4,STRUCTURE_FAIL,D1_upper_shadow_pct,11,9,1.8331,0.0,-0.2828
1030,Q1,FAILED_BREAKOUT,price_to_s1_pct,7,18,-9.7619,-10.1545,-0.0317
1030,Q1,FAILED_BREAKOUT,s1_reject_count_so_far,7,18,0.0,0.0,0.0
1030,Q1,FAILED_BREAKOUT,support_reclaimed_so_far,7,18,1.0,1.0,0.0952
1030,Q1,FAILED_BREAKOUT,recovery_from_session_low_pct,7,18,2.6173,4.7135,0.3016
1030,Q1,FAILED_BREAKOUT,price_vs_vwap_pct,7,18,0.4354,0.2157,0.0317
1030,Q1,FAILED_BREAKOUT,close_location_so_far,7,18,0.55,0.5725,0.1429
1030,Q1,FAILED_BREAKOUT,d0_new_low_since_anchor_so_far,7,18,0.0,0.0,0.2222
1030,Q1,FAILED_BREAKOUT,pullback_volume_dry_up_pre_D0,6,6,1.2454,1.5413,0.2222
1030,Q1,FAILED_BREAKOUT,cum_volume_vs_D1_ratio,7,18,0.5711,0.8083,0.1746
1030,Q1,FAILED_BREAKOUT,cum_volume_vs_anchor_ratio,7,18,0.7092,0.9593,0.2222
1030,Q1,FAILED_BREAKOUT,session_range_pct,7,18,4.2459,6.7116,0.5397
1030,Q1,FAILED_BREAKOUT,session_low_pct_vs_prev_close,7,18,0.8636,-2.6269,-0.8571
1030,Q1,FAILED_BREAKOUT,D1_upper_shadow_pct,7,18,0.8556,0.0,-0.3968
1030,Q1,NO_LAUNCH,price_to_s1_pct,7,5,-9.7619,-17.0022,-0.6
1030,Q1,NO_LAUNCH,s1_reject_count_so_far,7,5,0.0,0.0,0.0
1030,Q1,NO_LAUNCH,support_reclaimed_so_far,7,5,1.0,0.0,-0.1714
1030,Q1,NO_LAUNCH,recovery_from_session_low_pct,7,5,2.6173,3.0556,0.3143
1030,Q1,NO_LAUNCH,price_vs_vwap_pct,7,5,0.4354,0.5161,0.1429
1030,Q1,NO_LAUNCH,close_location_so_far,7,5,0.55,0.759,0.3143
1030,Q1,NO_LAUNCH,d0_new_low_since_anchor_so_far,7,5,0.0,0.0,0.4
1030,Q1,NO_LAUNCH,cum_volume_vs_D1_ratio,7,5,0.5711,0.5053,-0.0286
1030,Q1,NO_LAUNCH,cum_volume_vs_anchor_ratio,7,5,0.7092,0.4372,-0.4286
1030,Q1,NO_LAUNCH,session_range_pct,7,5,4.2459,6.6452,0.2571
1030,Q1,NO_LAUNCH,session_low_pct_vs_prev_close,7,5,0.8636,-1.4271,-0.8286
1030,Q1,NO_LAUNCH,D1_upper_shadow_pct,7,5,0.8556,1.0088,-0.0571
1030,Q1,STRUCTURE_FAIL,price_to_s1_pct,7,21,-9.7619,-13.015,-0.415
