feature,CHECKPOINT,group,rank_biserial,boot_ci_lo,boot_ci_hi,median_diff
volume_since_session_low,0945,STRUCTURE_FAIL,-0.0363,-2078942.9,8358879.025,2370061.0
volume_on_recovery,0945,FAILED_BREAKOUT,-0.0383,-3759317.75,12296364.375,1352412.0
volume_on_recovery,0945,STRUCTURE_FAIL,-0.0261,-5586617.0,12369850.0,414062.0
return_from_open_pct,0945,FAILED_BREAKOUT,-0.0518,-0.7075,1.3963,0.5234
return_from_open_pct,0945,STRUCTURE_FAIL,0.1098,-2.0252,0.4524,-0.8366
return_from_prev_close_pct,0945,FAILED_BREAKOUT,-0.1562,-0.8121,1.8911,0.4438
return_from_prev_close_pct,0945,STRUCTURE_FAIL,-0.0667,-1.1547,1.7205,0.4155
session_range_pct,0945,FAILED_BREAKOUT,0.2098,-1.009,0.2337,-0.5032
session_range_pct,0945,STRUCTURE_FAIL,0.35,-1.696,-0.1903,-0.8104
close_location_so_far,0945,FAILED_BREAKOUT,0.0557,-0.245,0.2097,-0.0675
close_location_so_far,0945,STRUCTURE_FAIL,0.151,-0.3146,0.148,-0.1035
high_from_open_pct,0945,FAILED_BREAKOUT,-0.0606,-0.3996,1.1505,0.3231
high_from_open_pct,0945,STRUCTURE_FAIL,0.1186,-1.7469,0.3957,-0.9114
low_from_open_pct,0945,FAILED_BREAKOUT,-0.1629,-0.1836,0.7742,0.258
low_from_open_pct,0945,STRUCTURE_FAIL,-0.1029,-0.4661,0.6136,-0.0178
lower_shadow_proxy_so_far_pct,0945,FAILED_BREAKOUT,0.0508,-0.5476,0.4518,-0.1965
lower_shadow_proxy_so_far_pct,0945,STRUCTURE_FAIL,0.1,-0.5831,0.4236,-0.1218
upper_shadow_proxy_so_far_pct,0945,FAILED_BREAKOUT,-0.0838,-0.4212,0.5667,0.0938
upper_shadow_proxy_so_far_pct,0945,STRUCTURE_FAIL,-0.0784,-0.3764,0.6025,0.1952
checkpoint_close,0945,FAILED_BREAKOUT,0.2799,-10.1079,-0.6364,-5.71
checkpoint_close,0945,STRUCTURE_FAIL,0.0745,-5.4603,4.5205,-0.62
session_low_price,0945,FAILED_BREAKOUT,0.2755,-9.8235,-0.3443,-5.21
session_low_price,0945,STRUCTURE_FAIL,0.0676,-5.3679,4.58,-0.45
session_high_price,0945,FAILED_BREAKOUT,0.2791,-10.224,-0.5742,-5.325
session_high_price,0945,STRUCTURE_FAIL,0.0725,-5.6619,4.8204,-0.315
vwap_price,0945,FAILED_BREAKOUT,0.2789,-10.0296,-0.4912,-5.418
vwap_price,0945,STRUCTURE_FAIL,0.0686,-5.5298,4.7302,-0.2896
s1,1000,FAILED_BREAKOUT,0.2789,-11.062,-0.7311,-5.77
s1,1000,STRUCTURE_FAIL,0.0941,-6.0909,5.175,-0.52
invalid,1000,FAILED_BREAKOUT,0.282,-9.8599,-0.6459,-5.31
invalid,1000,STRUCTURE_FAIL,0.0672,-5.34,4.891,-0.09
D1_close,1000,FAILED_BREAKOUT,0.283,-9.8569,-0.4948,-4.83
D1_close,1000,STRUCTURE_FAIL,0.0721,-5.5991,4.55,-0.34
D1_volume,1000,FAILED_BREAKOUT,-0.2211,-3454678.55,38190319.5,10792861.0
D1_volume,1000,STRUCTURE_FAIL,-0.2569,-3970581.0,37121887.6625,13925971.0
D1_upper_shadow_pct,1000,FAILED_BREAKOUT,-0.3211,0.0,2.0661,1.6802
D1_upper_shadow_pct,1000,STRUCTURE_FAIL,-0.3113,0.0,2.0903,1.6802
D1_close_location,1000,FAILED_BREAKOUT,0.332,-0.8955,0.0,-0.778
D1_close_location,1000,STRUCTURE_FAIL,0.2162,-0.8955,0.0,-0.778
dist_D1_close_to_s1_pct,1000,FAILED_BREAKOUT,0.1113,-2.098,1.2709,-0.6515
dist_D1_close_to_s1_pct,1000,STRUCTURE_FAIL,-0.2147,-0.3001,3.7519,1.7283
dist_D1_close_to_support_pct,1000,FAILED_BREAKOUT,0.0191,-1.0612,2.1712,0.4696
dist_D1_close_to_support_pct,1000,STRUCTURE_FAIL,0.0265,-2.1346,2.0619,-0.1134
dist_D1_close_to_invalid_pct,1000,FAILED_BREAKOUT,-0.0119,-1.4637,2.5018,0.9613
dist_D1_close_to_invalid_pct,1000,STRUCTURE_FAIL,0.0098,-2.0201,2.2019,-0.2458
pullback_volume_dry_up_pre_D0,1000,FAILED_BREAKOUT,0.0949,-0.2766,0.1581,-0.0514
pullback_volume_dry_up_pre_D0,1000,STRUCTURE_FAIL,-0.084,-0.1624,0.3217,0.1349
probe_count_pre_D0,1000,FAILED_BREAKOUT,-0.108,0.0,0.5,0.0
probe_count_pre_D0,1000,STRUCTURE_FAIL,-0.0608,0.0,0.5,0.0
closest_high_to_s1_pre_D0_pct,1000,FAILED_BREAKOUT,0.2183,-5.2386,2.0274,-2.2685
closest_high_to_s1_pre_D0_pct,1000,STRUCTURE_FAIL,0.008,-4.2453,4.6295,-0.1115
pre_D0_min_low,1000,FAILED_BREAKOUT,0.2983,-26.27,2.2215,-6.44
pre_D0_min_low,1000,STRUCTURE_FAIL,0.072,-6.731,7.0,0.645
d0_open,1000,FAILED_BREAKOUT,0.2799,-10.1028,-0.599,-4.89
d0_open,1000,STRUCTURE_FAIL,0.0706,-5.6779,4.53,-0.12
prev_close,1000,FAILED_BREAKOUT,0.283,-9.8569,-0.4948,-4.83
prev_close,1000,STRUCTURE_FAIL,0.0721,-5.5991,4.55,-0.34
anchor_volume,1000,FAILED_BREAKOUT,-0.2124,-783196.0,29472921.8,10431811.0
anchor_volume,1000,STRUCTURE_FAIL,-0.2196,-6820401.675,29799121.975,10549477.0
price_to_s1_pct,1000,FAILED_BREAKOUT,0.0237,-1.9827,1.7823,0.0632
price_to_s1_pct,1000,STRUCTURE_FAIL,-0.2652,-0.5085,4.7023,2.1048
session_high_to_s1_pct,1000,FAILED_BREAKOUT,0.0588,-1.7867,1.1225,-0.221
