CHECKPOINT,feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi,missingness,success_rate,control_rate,risk_ratio,odds_ratio,or_ci_lo,or_ci_hi
0945,vwap_reclaim_count_after_low,STRUCTURE_FAIL,40,51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0495,0.0,0.0,0.0,,,,,,
0945,vwap_reclaim_count_after_low,ALL_CONTROL,40,160,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.025,0.0,0.0,0.0,,,,,,
0945,closest_high_to_s1_pct_so_far,FAILED_BREAKOUT,40,97,-6.3561,-9.7591,-4.3446,-6.1768,-8.7329,-4.665,-0.1793,0.0258,-2.1133,1.6968,0.0,,,,,,
0945,closest_high_to_s1_pct_so_far,NO_LAUNCH,40,12,-6.3561,-9.7591,-4.3446,-10.1332,-15.7311,-7.7166,3.777,-0.4833,0.448,9.4608,0.0,,,,,,
0945,closest_high_to_s1_pct_so_far,STRUCTURE_FAIL,40,51,-6.3561,-9.7591,-4.3446,-9.1236,-11.7904,-5.8078,2.7675,-0.2882,0.3545,4.2503,0.0,,,,,,
0945,closest_high_to_s1_pct_so_far,ALL_CONTROL,40,160,-6.3561,-9.7591,-4.3446,-7.427,-9.9626,-5.0361,1.0709,-0.1125,-0.9196,2.5575,0.0,,,,,,
0945,number_of_intraday_local_highs,FAILED_BREAKOUT,40,97,1.0,1.0,2.0,1.0,1.0,2.0,0.0,-0.067,0.0,0.5,0.0,,,,,,
0945,number_of_intraday_local_highs,NO_LAUNCH,40,12,1.0,1.0,2.0,1.5,1.0,2.0,-0.5,0.1583,-1.0,0.0,0.0,,,,,,
0945,number_of_intraday_local_highs,STRUCTURE_FAIL,40,51,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0657,-1.0,0.5,0.0,,,,,,
0945,number_of_intraday_local_highs,ALL_CONTROL,40,160,1.0,1.0,2.0,1.0,1.0,2.0,0.0,-0.0078,0.0,0.5,0.0,,,,,,
0945,local_high_progression_pct,FAILED_BREAKOUT,40,97,2.4927,1.4996,3.9075,2.1696,1.2966,3.5563,0.3231,-0.0606,-0.3996,1.1505,0.0,,,,,,
0945,local_high_progression_pct,NO_LAUNCH,40,12,2.4927,1.4996,3.9075,2.5499,1.329,3.5391,-0.0573,0.0,-1.2497,1.6012,0.0,,,,,,
0945,local_high_progression_pct,STRUCTURE_FAIL,40,51,2.4927,1.4996,3.9075,3.4041,1.3018,4.1174,-0.9114,0.1186,-1.7469,0.3957,0.0,,,,,,
0945,local_high_progression_pct,ALL_CONTROL,40,160,2.4927,1.4996,3.9075,2.4428,1.2827,3.8865,0.0498,0.0011,-0.7097,0.9462,0.0,,,,,,
0945,high_progression_pct,FAILED_BREAKOUT,40,97,2.4927,1.4996,3.9075,2.1696,1.2966,3.5563,0.3231,-0.0606,-0.3996,1.1505,0.0,,,,,,
0945,high_progression_pct,NO_LAUNCH,40,12,2.4927,1.4996,3.9075,2.5499,1.329,3.5391,-0.0573,0.0,-1.2497,1.6012,0.0,,,,,,
0945,high_progression_pct,STRUCTURE_FAIL,40,51,2.4927,1.4996,3.9075,3.4041,1.3018,4.1174,-0.9114,0.1186,-1.7469,0.3957,0.0,,,,,,
0945,high_progression_pct,ALL_CONTROL,40,160,2.4927,1.4996,3.9075,2.4428,1.2827,3.8865,0.0498,0.0011,-0.7097,0.9462,0.0,,,,,,
0945,probe_v01_compat,FAILED_BREAKOUT,40,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0945,probe_v01_compat,NO_LAUNCH,40,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0945,probe_v01_compat,STRUCTURE_FAIL,40,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0945,probe_v01_compat,ALL_CONTROL,40,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0945,continuous_s1_approach,FAILED_BREAKOUT,40,97,-6.3561,-9.7591,-4.3446,-6.1768,-8.7329,-4.665,-0.1793,0.0258,-2.1133,1.6968,0.0,,,,,,
0945,continuous_s1_approach,NO_LAUNCH,40,12,-6.3561,-9.7591,-4.3446,-10.1332,-15.7311,-7.7166,3.777,-0.4833,0.448,9.4608,0.0,,,,,,
0945,continuous_s1_approach,STRUCTURE_FAIL,40,51,-6.3561,-9.7591,-4.3446,-9.1236,-11.7904,-5.8078,2.7675,-0.2882,0.3545,4.2503,0.0,,,,,,
0945,continuous_s1_approach,ALL_CONTROL,40,160,-6.3561,-9.7591,-4.3446,-7.427,-9.9626,-5.0361,1.0709,-0.1125,-0.9196,2.5575,0.0,,,,,,
0945,cum_volume,FAILED_BREAKOUT,40,97,12890822.0,4836781.25,23253265.0,7125323.0,4070600.0,24850026.0,5765499.0,-0.1129,-1839542.55,13151709.375,0.0,,,,,,
0945,cum_volume,NO_LAUNCH,40,12,12890822.0,4836781.25,23253265.0,5648180.0,1327625.0,8878094.75,7242642.0,-0.4167,188518.2875,16233862.425,0.0,,,,,,
0945,cum_volume,STRUCTURE_FAIL,40,51,12890822.0,4836781.25,23253265.0,9612840.0,4989750.0,20963049.5,3277982.0,-0.0745,-3868202.0375,9891683.525,0.0,,,,,,
0945,cum_volume,ALL_CONTROL,40,160,12890822.0,4836781.25,23253265.0,8148000.0,3901350.0,21704302.75,4742822.0,-0.1234,-1400552.2,12340803.7375,0.0,,,,,,
0945,cum_volume_vs_D1_ratio,FAILED_BREAKOUT,40,97,0.2248,0.1577,0.3505,0.2849,0.2088,0.4798,-0.06,0.2335,-0.128,0.0286,0.0,,,,,,
0945,cum_volume_vs_D1_ratio,NO_LAUNCH,40,12,0.2248,0.1577,0.3505,0.1892,0.1664,0.2224,0.0357,-0.2208,-0.026,0.1049,0.0,,,,,,
0945,cum_volume_vs_D1_ratio,STRUCTURE_FAIL,40,51,0.2248,0.1577,0.3505,0.3239,0.2079,0.6972,-0.0991,0.3314,-0.2303,-0.0119,0.0,,,,,,
0945,cum_volume_vs_D1_ratio,ALL_CONTROL,40,160,0.2248,0.1577,0.3505,0.2869,0.1986,0.5002,-0.0621,0.2306,-0.1202,0.019,0.0,,,,,,
