feature,group,episode_id,symbol,name,candidate_date,anchor_date,outcome,CHECKPOINT,support,s1,invalid,checkpoint_price,session_low,session_high,vwap,feature_value
D1_upper_shadow_pct,SUCCESS,002208:20260610:1674,002208,合肥城建,2026-06-15,2026-06-10,SUCCESS,1130,16.02250000000000000000000000,17.58,15.81,16.02,15.88,16.4,16.072427710237807,2.3183
D1_upper_shadow_pct,SUCCESS,600058:20260622:1131,600058,,2026-06-24,2026-06-22,SUCCESS,1130,10.61750000000000000000000000,11.45,10.49,10.71,10.6,10.94,10.758683113051253,3.1418
D1_upper_shadow_pct,SUCCESS,603318:20260611:985,603318,水发燃气,2026-06-15,2026-06-11,SUCCESS,1130,8.234410904059658947254538316,9.48,8.19,8.67,8.65,9.05,8.825836718197516,4.7872
D1_upper_shadow_pct,FAILED_BREAKOUT,002983:20260605:2484,002983,,2026-06-08,2026-06-05,FAILED_BREAKOUT,1130,23.46600000000000000000000000,25.28,23.35,24.23,23.86,24.78,24.16244175141135,0.0
D1_upper_shadow_pct,FAILED_BREAKOUT,002910:20260616:1121,002910,,2026-06-17,2026-06-16,FAILED_BREAKOUT,1130,10.46454803691420299194150784,11.99,10.39,11.2,10.8,11.37,11.118719833842817,0.0
D1_upper_shadow_pct,FAILED_BREAKOUT,603615:20260701:1777,603615,,2026-07-02,2026-07-01,FAILED_BREAKOUT,1130,18.36556179358903094311654625,19.68,18.27,18.63,17.77,19.09,18.65122586785263,0.0
D1_upper_shadow_pct,FAILED_BREAKOUT,605300:20260625:943,605300,,2026-06-26,2026-06-25,FAILED_BREAKOUT,1130,9.191233333333333333333333328,10.68,9.15,9.37,9.09,9.7,9.337054264543397,0.0
D1_upper_shadow_pct,FAILED_BREAKOUT,600641:20260609:2703,600641,先导基电,2026-06-10,2026-06-09,FAILED_BREAKOUT,1130,27.03,29.06,26.89,27.6,26.7,28.9,27.949686677158855,0.0
D1_upper_shadow_pct,FAILED_BREAKOUT,002428:20260611:8824,002428,,2026-06-12,2026-06-11,FAILED_BREAKOUT,1130,87.21244444444444444444444443,95.55,86.23,91.87,87.0,92.79,90.49848291786212,0.0
D1_upper_shadow_pct,FAILED_BREAKOUT,001270:20260626:13943,001270,,2026-06-30,2026-06-26,FAILED_BREAKOUT,1130,139.4356898486783544254808622,160.98,138.17,155.0,149.58,155.5,152.13420178084277,0.0417
D1_upper_shadow_pct,FAILED_BREAKOUT,600026:20260617:1969,600026,,2026-06-22,2026-06-17,FAILED_BREAKOUT,1130,20.38690859943880854737750919,21.8,20.28,20.48,18.55,20.63,19.7767282338094,1.005
