dimension,stratum,n,success_n,nonsuccess_n,auc,direction,effect,reportable,note,verdict,consistency,material_reversal_n,opposite_n,factor,role
quarter,2024Q3,393,26,367,0.6234542024732761,POSITIVE,0.1234542024732761,True,,UNSTABLE,0.75,1,2,high_vs_pullback_high,PRIMARY
quarter,2024Q4,796,34,762,0.5697274972981319,POSITIVE,0.06972749729813188,True,,UNSTABLE,0.75,1,2,high_vs_pullback_high,PRIMARY
quarter,2025Q1,561,25,536,0.4219402985074627,NEGATIVE,0.07805970149253733,True,,UNSTABLE,0.75,1,2,high_vs_pullback_high,PRIMARY
quarter,2025Q2,543,25,518,0.5647104247104248,POSITIVE,0.06471042471042476,True,,UNSTABLE,0.75,1,2,high_vs_pullback_high,PRIMARY
quarter,2025Q3,501,21,480,0.6490079365079365,POSITIVE,0.14900793650793653,True,,UNSTABLE,0.75,1,2,high_vs_pullback_high,PRIMARY
quarter,2025Q4,507,31,476,0.5490986717267552,POSITIVE,0.049098671726755194,True,,UNSTABLE,0.75,1,2,high_vs_pullback_high,PRIMARY
quarter,2026Q1,326,21,305,0.4885245901639344,NEGATIVE,0.011475409836065598,True,,UNSTABLE,0.75,1,2,high_vs_pullback_high,PRIMARY
quarter,2026Q2,483,32,451,0.5213414634146342,POSITIVE,0.021341463414634165,True,,UNSTABLE,0.75,1,2,high_vs_pullback_high,PRIMARY
quarter,2026Q3,153,7,146,,UNKNOWN,,False,GATE success_n<10,UNSTABLE,0.75,1,2,high_vs_pullback_high,PRIMARY
regime,RISK_ON,2324,146,2178,0.567255682604375,POSITIVE,0.06725568260437498,True,,STABLE,1.0,0,0,high_vs_pullback_high,PRIMARY
regime,RISK_OFF,1939,76,1863,0.5435418255784389,POSITIVE,0.043541825578438886,True,,STABLE,1.0,0,0,high_vs_pullback_high,PRIMARY
regime,NEUTRAL,0,0,0,,UNKNOWN,,False,NO_ROWS,STABLE,1.0,0,0,high_vs_pullback_high,PRIMARY
board,SH_MAIN,2081,109,1972,0.5682537171781082,POSITIVE,0.06825371717810824,True,,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
board,SZ_MAIN,2182,113,2069,0.5435955123461806,POSITIVE,0.04359551234618064,True,,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
board,SZ_CHINEXT,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
board,SH_STAR,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
board,BSE,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
t0_position,LOW,83,5,78,,UNKNOWN,,False,GATE success_n<10,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
t0_position,MID,598,29,569,0.5137567420156354,POSITIVE,0.01375674201563537,True,,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
t0_position,HIGH,3124,162,2962,0.5544447778861463,POSITIVE,0.05444477788614632,True,,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
t0_gap_up,GAP_UP,2577,142,2435,0.5648870636550308,POSITIVE,0.06488706365503083,True,,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
t0_gap_up,NO_GAP_UP,1648,77,1571,0.5231716087858672,POSITIVE,0.023171608785867215,True,,DATA_LIMITED,,0,0,high_vs_pullback_high,PRIMARY
year,2024,1189,60,1129,0.6658178328904636,POSITIVE,0.1658178328904636,True,,STABLE,1.0,0,0,close_vs_pullback_high,PRIMARY
year,2025,2112,102,2010,0.5691225246317433,POSITIVE,0.06912252463174329,True,,STABLE,1.0,0,0,close_vs_pullback_high,PRIMARY
year,2026,962,60,902,0.5502586844050259,POSITIVE,0.0502586844050259,True,,STABLE,1.0,0,0,close_vs_pullback_high,PRIMARY
quarter,2024Q3,393,26,367,0.6898972961643262,POSITIVE,0.18989729616432616,True,,MIXED,0.875,1,1,close_vs_pullback_high,PRIMARY
quarter,2024Q4,796,34,762,0.6386830322680254,POSITIVE,0.13868303226802536,True,,MIXED,0.875,1,1,close_vs_pullback_high,PRIMARY
quarter,2025Q1,561,25,536,0.46417910447761196,NEGATIVE,0.03582089552238804,True,,MIXED,0.875,1,1,close_vs_pullback_high,PRIMARY
quarter,2025Q2,543,25,518,0.57003861003861,POSITIVE,0.07003861003861,True,,MIXED,0.875,1,1,close_vs_pullback_high,PRIMARY
quarter,2025Q3,501,21,480,0.6635912698412698,POSITIVE,0.16359126984126982,True,,MIXED,0.875,1,1,close_vs_pullback_high,PRIMARY
quarter,2025Q4,507,31,476,0.5976551911087016,POSITIVE,0.09765519110870158,True,,MIXED,0.875,1,1,close_vs_pullback_high,PRIMARY
quarter,2026Q1,326,21,305,0.509992193598751,POSITIVE,0.009992193598751031,True,,MIXED,0.875,1,1,close_vs_pullback_high,PRIMARY
quarter,2026Q2,483,32,451,0.5340909090909091,POSITIVE,0.03409090909090906,True,,MIXED,0.875,1,1,close_vs_pullback_high,PRIMARY
quarter,2026Q3,153,7,146,,UNKNOWN,,False,GATE success_n<10,MIXED,0.875,1,1,close_vs_pullback_high,PRIMARY
regime,RISK_ON,2324,146,2178,0.5812719347899921,POSITIVE,0.08127193478999206,True,,STABLE,1.0,0,0,close_vs_pullback_high,PRIMARY
regime,RISK_OFF,1939,76,1863,0.587666327654886,POSITIVE,0.08766632765488602,True,,STABLE,1.0,0,0,close_vs_pullback_high,PRIMARY
regime,NEUTRAL,0,0,0,,UNKNOWN,,False,NO_ROWS,STABLE,1.0,0,0,close_vs_pullback_high,PRIMARY
board,SH_MAIN,2081,109,1972,0.5854532258964958,POSITIVE,0.08545322589649584,True,,DATA_LIMITED,,0,0,close_vs_pullback_high,PRIMARY
board,SZ_MAIN,2182,113,2069,0.5940281526281347,POSITIVE,0.09402815262813469,True,,DATA_LIMITED,,0,0,close_vs_pullback_high,PRIMARY
board,SZ_CHINEXT,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,close_vs_pullback_high,PRIMARY
board,SH_STAR,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,close_vs_pullback_high,PRIMARY
board,BSE,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,close_vs_pullback_high,PRIMARY
t0_position,LOW,83,5,78,,UNKNOWN,,False,GATE success_n<10,DATA_LIMITED,,0,0,close_vs_pullback_high,PRIMARY
t0_position,MID,598,29,569,0.5683897945579056,POSITIVE,0.06838979455790561,True,,DATA_LIMITED,,0,0,close_vs_pullback_high,PRIMARY
t0_position,HIGH,3124,162,2962,0.593120889289019,POSITIVE,0.09312088928901896,True,,DATA_LIMITED,,0,0,close_vs_pullback_high,PRIMARY
t0_gap_up,GAP_UP,2577,142,2435,0.6077146658183186,POSITIVE,0.10771466581831857,True,,STABLE,1.0,0,0,close_vs_pullback_high,PRIMARY
t0_gap_up,NO_GAP_UP,1648,77,1571,0.5443137384575959,POSITIVE,0.0443137384575959,True,,STABLE,1.0,0,0,close_vs_pullback_high,PRIMARY
year,2024,2060,108,1952,0.4557291666666667,NEGATIVE,0.044270833333333315,True,,MIXED,0.6666666666666666,0,1,t0_return,CONTROL
year,2025,3906,167,3739,0.4517747068046309,NEGATIVE,0.04822529319536911,True,,MIXED,0.6666666666666666,0,1,t0_return,CONTROL
year,2026,2051,105,1946,0.5152596290314687,POSITIVE,0.015259629031468713,True,,MIXED,0.6666666666666666,0,1,t0_return,CONTROL
quarter,2024Q3,871,58,813,0.4261674513296857,NEGATIVE,0.0738325486703143,True,,MIXED,0.875,1,1,t0_return,CONTROL
quarter,2024Q4,1189,50,1139,0.4942844600526778,NEGATIVE,0.005715539947322212,True,,MIXED,0.875,1,1,t0_return,CONTROL
quarter,2025Q1,1152,47,1105,0.490767305285453,NEGATIVE,0.009232694714547018,True,,MIXED,0.875,1,1,t0_return,CONTROL
quarter,2025Q2,1065,45,1020,0.4362200435729848,NEGATIVE,0.06377995642701523,True,,MIXED,0.875,1,1,t0_return,CONTROL
quarter,2025Q3,754,26,728,0.3798076923076923,NEGATIVE,0.12019230769230771,True,,MIXED,0.875,1,1,t0_return,CONTROL
quarter,2025Q4,935,49,886,0.46957202745658083,NEGATIVE,0.03042797254341917,True,,MIXED,0.875,1,1,t0_return,CONTROL
quarter,2026Q1,597,39,558,0.48899457770425514,NEGATIVE,0.01100542229574486,True,,MIXED,0.875,1,1,t0_return,CONTROL
quarter,2026Q2,1147,59,1088,0.5335867397806581,POSITIVE,0.03358673978065807,True,,MIXED,0.875,1,1,t0_return,CONTROL
quarter,2026Q3,307,7,300,,UNKNOWN,,False,GATE success_n<10,MIXED,0.875,1,1,t0_return,CONTROL
regime,RISK_ON,4297,247,4050,0.46853301344529413,NEGATIVE,0.03146698655470587,True,,STABLE,1.0,0,0,t0_return,CONTROL
regime,RISK_OFF,3720,133,3587,0.4665888305933498,NEGATIVE,0.033411169406650176,True,,STABLE,1.0,0,0,t0_return,CONTROL
regime,NEUTRAL,0,0,0,,UNKNOWN,,False,NO_ROWS,STABLE,1.0,0,0,t0_return,CONTROL
board,SH_MAIN,3915,200,3715,0.4720114401076716,NEGATIVE,0.027988559892328402,True,,DATA_LIMITED,,0,0,t0_return,CONTROL
board,SZ_MAIN,4102,180,3922,0.46325854156042834,NEGATIVE,0.03674145843957166,True,,DATA_LIMITED,,0,0,t0_return,CONTROL
board,SZ_CHINEXT,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,t0_return,CONTROL
board,SH_STAR,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,t0_return,CONTROL
board,BSE,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,t0_return,CONTROL
t0_position,LOW,267,9,258,,UNKNOWN,,False,GATE success_n<10,DATA_LIMITED,,0,0,t0_return,CONTROL
t0_position,MID,1628,69,1559,0.44306551022115626,NEGATIVE,0.056934489778843744,True,,DATA_LIMITED,,0,0,t0_return,CONTROL
t0_position,HIGH,5164,266,4898,0.46456970314721063,NEGATIVE,0.03543029685278937,True,,DATA_LIMITED,,0,0,t0_return,CONTROL
t0_gap_up,GAP_UP,4870,231,4639,0.47992458070061,NEGATIVE,0.020075419299389996,True,,DATA_LIMITED,,0,0,t0_return,CONTROL
t0_gap_up,NO_GAP_UP,3147,149,2998,0.4488641197039637,NEGATIVE,0.051135880296036273,True,,DATA_LIMITED,,0,0,t0_return,CONTROL
year,2024,2060,108,1952,0.48423506754705525,NEGATIVE,0.015764932452944747,True,,MIXED,0.6666666666666666,0,1,t0_gap,CONTROL
year,2025,3906,167,3739,0.5046163356624542,POSITIVE,0.0046163356624542295,True,,MIXED,0.6666666666666666,0,1,t0_gap,CONTROL
year,2026,2051,105,1946,0.4582611461850927,NEGATIVE,0.04173885381490727,True,,MIXED,0.6666666666666666,0,1,t0_gap,CONTROL
quarter,2024Q3,871,58,813,0.5080693048309793,POSITIVE,0.00806930483097934,True,,UNSTABLE,0.625,2,3,t0_gap,CONTROL
quarter,2024Q4,1189,50,1139,0.4653906935908692,NEGATIVE,0.03460930640913079,True,,UNSTABLE,0.625,2,3,t0_gap,CONTROL
quarter,2025Q1,1152,47,1105,0.5495812072783287,POSITIVE,0.04958120727832871,True,,UNSTABLE,0.625,2,3,t0_gap,CONTROL
quarter,2025Q2,1065,45,1020,0.4464814814814815,NEGATIVE,0.05351851851851852,True,,UNSTABLE,0.625,2,3,t0_gap,CONTROL
quarter,2025Q3,754,26,728,0.45900253592561285,NEGATIVE,0.04099746407438715,True,,UNSTABLE,0.625,2,3,t0_gap,CONTROL
quarter,2025Q4,935,49,886,0.5384092688994334,POSITIVE,0.03840926889943341,True,,UNSTABLE,0.625,2,3,t0_gap,CONTROL
quarter,2026Q1,597,39,558,0.45165885488466134,NEGATIVE,0.04834114511533866,True,,UNSTABLE,0.625,2,3,t0_gap,CONTROL
quarter,2026Q2,1147,59,1088,0.4671999626121635,NEGATIVE,0.03280003738783649,True,,UNSTABLE,0.625,2,3,t0_gap,CONTROL
quarter,2026Q3,307,7,300,,UNKNOWN,,False,GATE success_n<10,UNSTABLE,0.625,2,3,t0_gap,CONTROL
regime,RISK_ON,4297,247,4050,0.48630479332233717,NEGATIVE,0.01369520667766283,True,,DATA_LIMITED,,0,0,t0_gap,CONTROL
