baseline_id,baseline_role,factor_name,factor_family,factor_role,sample_scope,baseline_group,target,eligible_group_n,factor_nonmissing_n,outcome_known_n,success_n,non_success_n,native_auc,native_direction,r3_direction,direction_match,effect,identifiability_status,missing_reason
B4,SECONDARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,4439,4200,4096,214,3882,0.45606489573252057,NEGATIVE,NEGATIVE,True,0.04393510426747943,IDENTIFIABLE,
B4,SECONDARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,4439,4200,4095,253,3842,0.45536539146072225,NEGATIVE,NEGATIVE,True,0.044634608539277754,IDENTIFIABLE,
B4,SECONDARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,4207,3829,3741,156,3585,0.38503558273432753,NEGATIVE,NEGATIVE,True,0.11496441726567247,IDENTIFIABLE,
B4,SECONDARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,4207,3829,3739,186,3553,0.3776681223500359,NEGATIVE,NEGATIVE,True,0.12233187764996412,IDENTIFIABLE,
B4,SECONDARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,4475,4200,4096,214,3882,0.45606489573252057,NEGATIVE,NEGATIVE,True,0.04393510426747943,IDENTIFIABLE,
B4,SECONDARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,4475,4200,4095,253,3842,0.45536539146072225,NEGATIVE,NEGATIVE,True,0.044634608539277754,IDENTIFIABLE,
B4,SECONDARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,4182,3829,3741,156,3585,0.57482923863677,POSITIVE,POSITIVE,True,0.07482923863677005,IDENTIFIABLE,
B4,SECONDARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,4182,3829,3739,186,3553,0.5763212369374359,POSITIVE,POSITIVE,True,0.07632123693743587,IDENTIFIABLE,
B4,SECONDARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,4439,4201,4097,214,3883,0.5765239565708179,POSITIVE,POSITIVE,True,0.0765239565708179,IDENTIFIABLE,
B4,SECONDARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,4439,4201,4096,253,3843,0.5767907154222194,POSITIVE,POSITIVE,True,0.07679071542221938,IDENTIFIABLE,
B4,SECONDARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,4207,3829,3741,156,3585,0.57482923863677,POSITIVE,POSITIVE,True,0.07482923863677005,IDENTIFIABLE,
B4,SECONDARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,4207,3829,3739,186,3553,0.5763212369374359,POSITIVE,POSITIVE,True,0.07632123693743587,IDENTIFIABLE,
B4,SECONDARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,4475,4201,4097,214,3883,0.5765239565708179,POSITIVE,POSITIVE,True,0.0765239565708179,IDENTIFIABLE,
