setup_id,symbol,candidate_date,t0_date,first_observation_stage,s1_price,price_tick,event_search_start,event_search_end,setup_ledger_sha256,prior_intraday_ledger_sha256,authority_state_generation
603038:20260810:1506,603038,2026-08-11,2026-08-10,B1_READY,16.8500,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
603045:20260805:5356,603045,2026-08-10,2026-08-05,B2_READY,72.6500,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603065:20260810:1775,603065,2026-08-11,2026-08-10,B1_READY,20.1100,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
603123:20260806:1007,603123,2026-08-10,2026-08-06,B2_READY,10.3600,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603124:20260807:14166,603124,2026-08-10,2026-08-07,B1_READY,156.5800,0.01,2026-08-11,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603125:20260805:2261,603125,2026-08-10,2026-08-05,B2_READY,24.9800,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603130:20260810:4433,603130,2026-08-11,2026-08-10,B1_READY,46.5500,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
603137:20260807:2750,603137,2026-08-10,2026-08-07,B1_READY,31.7400,0.01,2026-08-11,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603151:20260810:1412,603151,2026-08-11,2026-08-10,B1_READY,15.4400,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
603206:20260805:1554,603206,2026-08-10,2026-08-05,B2_READY,16.0000,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603256:20260805:13811,603256,2026-08-10,2026-08-05,B2_READY,164.6000,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603269:20260810:1553,603269,2026-08-11,2026-08-10,B1_READY,17.4600,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
603285:20260806:3586,603285,2026-08-10,2026-08-06,B2_READY,42.5000,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603328:20260807:1085,603328,2026-08-11,2026-08-07,B1_READY,11.9400,0.01,2026-08-12,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
603335:20260805:669,603335,2026-08-10,2026-08-05,B2_READY,7.4300,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603421:20260806:641,603421,2026-08-10,2026-08-06,B1_READY,6.8000,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603466:20260804:1113,603466,2026-08-10,2026-08-04,B2_READY,12.0500,0.01,2026-08-11,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603567:20260807:708,603567,2026-08-10,2026-08-07,B1_READY,8.0000,0.01,2026-08-11,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603610:20260803:1450,603610,2026-08-10,2026-08-03,B2_READY,15.9500,0.01,2026-08-11,2026-08-12,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603618:20260805:2622,603618,2026-08-10,2026-08-05,B2_READY,28.2200,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603626:20260805:1511,603626,2026-08-10,2026-08-05,B2_READY,17.8900,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
