episode_id,outcome,CHECKPOINT,quiet_score
603118:20260630:1211,SUCCESS,0945,0.643098
002403:20260701:981,FAILED_BREAKOUT,0945,0.558923
000938:20260630:2886,FAILED_BREAKOUT,0945,0.545455
002903:20260630:4542,NO_LAUNCH,0945,0.646465
600661:20260701:760,FAILED_BREAKOUT,0945,0.579125
002442:20260701:542,STRUCTURE_FAIL,0945,0.393939
605300:20260629:1035,STRUCTURE_FAIL,0945,0.676768
605018:20260630:1491,FAILED_BREAKOUT,0945,0.841751
603615:20260701:1777,FAILED_BREAKOUT,0945,0.508418
002124:20260701:232,SUCCESS,0945,0.922559
002931:20260702:7128,STRUCTURE_FAIL,0945,0.225589
605111:20260630:9914,NO_LAUNCH,0945,0.538721
600975:20260701:474,FAILED_BREAKOUT,0945,0.73064
002392:20260702:878,STRUCTURE_FAIL,0945,0.309764
002440:20260701:1128,STRUCTURE_FAIL,0945,0.441077
003030:20260702:2244,STRUCTURE_FAIL,0945,0.508418
002607:20260701:198,SUCCESS,0945,0.784512
600449:20260702:1239,FAILED_BREAKOUT,0945,0.407407
000876:20260701:690,SUCCESS,0945,0.895623
002842:20260702:5017,STRUCTURE_FAIL,0945,0.754209
002693:20260702:1067,STRUCTURE_FAIL,0945,0.521886
002427:20260702:530,STRUCTURE_FAIL,0945,0.481481
002518:20260630:5359,STRUCTURE_FAIL,0945,0.609428
000593:20260706:2466,STRUCTURE_FAIL,0945,0.313131
603118:20260706:1342,UNKNOWN,0945,0.377104
001270:20260703:16332,STRUCTURE_FAIL,0945,0.461279
002472:20260703:4701,STRUCTURE_FAIL,0945,0.228956
002129:20260707:1102,STRUCTURE_FAIL,0945,0.262626
603020:20260706:1469,STRUCTURE_FAIL,0945,0.30303
001206:20260707:1954,STRUCTURE_FAIL,0945,0.326599
603477:20260706:1673,NO_LAUNCH,0945,0.377104
002585:20260707:1137,STRUCTURE_FAIL,0945,0.828283
603065:20260707:2025,STRUCTURE_FAIL,0945,0.208754
002642:20260708:670,SUCCESS,0945,0.838384
002403:20260706:1178,NO_LAUNCH,0945,0.875421
000892:20260706:376,FAILED_BREAKOUT,0945,0.626263
601369:20260626:905,FAILED_BREAKOUT,0945,0.518519
002051:20260727:905,STRUCTURE_FAIL,0945,0.43771
603988:20260727:1804,SUCCESS,0945,0.360269
603661:20260708:4267,NO_LAUNCH,0945,0.838384
603315:20260727:1203,STRUCTURE_FAIL,0945,0.468013
603955:20260727:1862,FAILED_BREAKOUT,0945,0.589226
002292:20260727:776,FAILED_BREAKOUT,0945,0.515152
002490:20260708:697,STRUCTURE_FAIL,0945,0.484848
002910:20260708:1287,NO_LAUNCH,0945,0.757576
002174:20260727:1134,NO_LAUNCH,0945,0.700337
003030:20260727:2261,STRUCTURE_FAIL,0945,0.569024
603630:20260727:1443,FAILED_BREAKOUT,0945,0.62963
600667:20260727:1792,STRUCTURE_FAIL,0945,0.333333
601369:20260528:961,STRUCTURE_FAIL,1000,0.555556
000670:20260604:967,SUCCESS,1000,0.525253
002983:20260605:2484,FAILED_BREAKOUT,1000,0.545455
002631:20260605:745,FAILED_BREAKOUT,1000,0.228956
002585:20260604:1180,FAILED_BREAKOUT,1000,0.181818
001309:20260604:68085,FAILED_BREAKOUT,1000,0.414141
603020:20260605:1067,SUCCESS,1000,0.609428
002051:20260604:1202,FAILED_BREAKOUT,1000,0.47138
603938:20260605:5282,FAILED_BREAKOUT,1000,0.205387
601869:20260602:40874,FAILED_BREAKOUT,1000,0.373737
600516:20260605:583,STRUCTURE_FAIL,1000,0.265993
603950:20260604:7005,NO_LAUNCH,1000,0.367003
002963:20260608:1774,STRUCTURE_FAIL,1000,0.30303
600539:20260608:1540,STRUCTURE_FAIL,1000,0.350168
000833:20260608:2368,FAILED_BREAKOUT,1000,0.323232
600667:20260604:1636,STRUCTURE_FAIL,1000,0.558923
003030:20260601:2574,SUCCESS,1000,0.872054
002931:20260608:6560,FAILED_BREAKOUT,1000,0.585859
603070:20260605:1673,STRUCTURE_FAIL,1000,0.949495
003018:20260609:5468,FAILED_BREAKOUT,1000,0.131313
001215:20260609:4232,STRUCTURE_FAIL,1000,0.622896
600110:20260609:1181,FAILED_BREAKOUT,1000,0.457912
002051:20260609:1223,STRUCTURE_FAIL,1000,0.407407
603260:20260609:3933,FAILED_BREAKOUT,1000,0.508418
603020:20260609:1164,STRUCTURE_FAIL,1000,0.582492
002129:20260609:981,FAILED_BREAKOUT,1000,0.582492
000037:20260609:1139,FAILED_BREAKOUT,1000,0.491582
600641:20260609:2703,FAILED_BREAKOUT,1000,0.387205
002490:20260608:823,SUCCESS,1000,0.579125
601869:20260609:48433,STRUCTURE_FAIL,1000,0.6633
605111:20260609:6199,SUCCESS,1000,0.700337
605018:20260609:1977,STRUCTURE_FAIL,1000,0.212121
600714:20260605:3290,FAILED_BREAKOUT,1000,0.693603
600732:20260610:1207,FAILED_BREAKOUT,1000,0.400673
003030:20260610:2342,FAILED_BREAKOUT,1000,0.292929
603661:20260610:3675,STRUCTURE_FAIL,1000,0.350168
000811:20260609:3214,UNKNOWN,1000,0.656566
603335:20260609:768,FAILED_BREAKOUT,1000,0.491582
002583:20260609:939,FAILED_BREAKOUT,1000,0.515152
002837:20260609:6972,SUCCESS,1000,0.673401
002378:20260611:3363,FAILED_BREAKOUT,1000,0.313131
002842:20260611:3934,FAILED_BREAKOUT,1000,0.131313
002490:20260611:856,STRUCTURE_FAIL,1000,0.10101
600058:20260610:1034,NO_LAUNCH,1000,0.6633
002428:20260611:8824,FAILED_BREAKOUT,1000,0.622896
603315:20260611:1650,FAILED_BREAKOUT,1000,0.265993
600531:20260612:1309,NO_LAUNCH,1000,0.646465
002549:20260611:1815,STRUCTURE_FAIL,1000,0.683502
002637:20260612:1268,STRUCTURE_FAIL,1000,0.609428
000815:20260610:1687,FAILED_BREAKOUT,1000,0.804714
001360:20260612:1874,FAILED_BREAKOUT,1000,0.356902
002997:20260612:2938,FAILED_BREAKOUT,1000,0.744108
600667:20260611:1751,SUCCESS,1000,0.740741
002965:20260611:3854,SUCCESS,1000,0.787879
000969:20260612:2446,FAILED_BREAKOUT,1000,0.313131
603519:20260612:1364,FAILED_BREAKOUT,1000,0.447811
001206:20260612:1723,STRUCTURE_FAIL,1000,0.602694
603318:20260611:985,SUCCESS,1000,0.575758
002927:20260612:2017,FAILED_BREAKOUT,1000,0.191919
600601:20260612:1289,FAILED_BREAKOUT,1000,0.518519
603936:20260611:2372,SUCCESS,1000,0.700337
002208:20260610:1674,SUCCESS,1000,0.582492
600497:20260612:928,FAILED_BREAKOUT,1000,0.62963
600539:20260612:1634,STRUCTURE_FAIL,1000,0.754209
002745:20260615:1025,SUCCESS,1000,0.521886
000070:20260615:1881,SUCCESS,1000,0.572391
002174:20260615:1109,FAILED_BREAKOUT,1000,0.282828
000593:20260615:2267,FAILED_BREAKOUT,1000,0.565657
002106:20260615:1338,SUCCESS,1000,0.505051
000811:20260615:3385,FAILED_BREAKOUT,1000,0.373737
603993:20260612:1911,FAILED_BREAKOUT,1000,0.6633
603052:20260615:9078,FAILED_BREAKOUT,1000,0.676768
600237:20260615:1068,SUCCESS,1000,0.363636
002281:20260615:22547,FAILED_BREAKOUT,1000,0.656566
603070:20260615:1604,FAILED_BREAKOUT,1000,0.26936
600520:20260615:2958,SUCCESS,1000,0.717172
002734:20260616:1639,SUCCESS,1000,0.835017
002805:20260616:2420,FAILED_BREAKOUT,1000,0.478114
603950:20260615:6549,SUCCESS,1000,0.558923
002428:20260615:10149,FAILED_BREAKOUT,1000,0.612795
002729:20260616:1947,FAILED_BREAKOUT,1000,0.76431
603629:20260615:16737,FAILED_BREAKOUT,1000,0.47138
600362:20260615:4736,SUCCESS,1000,0.804714
603318:20260616:965,FAILED_BREAKOUT,1000,0.407407
000657:20260615:8690,FAILED_BREAKOUT,1000,0.582492
600563:20260615:15730,FAILED_BREAKOUT,1000,0.885522
002910:20260616:1121,FAILED_BREAKOUT,1000,0.387205
002645:20260616:3363,FAILED_BREAKOUT,1000,0.538721
002440:20260615:998,UNKNOWN,1000,0.434343
002931:20260616:7194,UNKNOWN,1000,0.387205
603637:20260617:1827,FAILED_BREAKOUT,1000,0.572391
603042:20260616:2097,SUCCESS,1000,0.787879
002885:20260616:4329,FAILED_BREAKOUT,1000,0.915825
605069:20260611:1155,FAILED_BREAKOUT,1000,0.329966
000050:20260617:914,FAILED_BREAKOUT,1000,0.37037
002927:20260616:2224,UNKNOWN,1000,0.410774
002346:20260616:1801,FAILED_BREAKOUT,1000,0.76431
002830:20260612:1676,SUCCESS,1000,0.188552
002317:20260618:2290,FAILED_BREAKOUT,1000,0.151515
002442:20260618:548,FAILED_BREAKOUT,1000,0.420875
603127:20260618:3566,FAILED_BREAKOUT,1000,0.511785
603929:20260617:23218,FAILED_BREAKOUT,1000,0.690236
600026:20260617:1969,FAILED_BREAKOUT,1000,0.363636
601872:20260622:1885,FAILED_BREAKOUT,1000,0.569024
000833:20260622:2413,STRUCTURE_FAIL,1000,0.575758
002885:20260622:4687,STRUCTURE_FAIL,1000,0.582492
002392:20260618:881,FAILED_BREAKOUT,1000,0.737374
603629:20260622:19424,UNKNOWN,1000,0.178451
002601:20260622:1703,FAILED_BREAKOUT,1000,0.636364
002440:20260622:1099,FAILED_BREAKOUT,1000,0.569024
600488:20260623:497,STRUCTURE_FAIL,1000,0.141414
600531:20260622:1481,SUCCESS,1000,0.59596
002728:20260623:882,STRUCTURE_FAIL,1000,0.276094
000756:20260623:1344,STRUCTURE_FAIL,1000,0.16835
600708:20260623:329,SUCCESS,1000,0.343434
603661:20260622:3573,FAILED_BREAKOUT,1000,0.377104
002963:20260622:2144,FAILED_BREAKOUT,1000,0.52862
603630:20260623:1425,STRUCTURE_FAIL,1000,0.410774
001206:20260623:1854,FAILED_BREAKOUT,1000,0.30303
603588:20260622:1761,SUCCESS,1000,0.56229
002549:20260623:1867,FAILED_BREAKOUT,1000,0.377104
600058:20260622:1131,SUCCESS,1000,0.787879
002910:20260622:1282,STRUCTURE_FAIL,1000,0.653199
600234:20260622:3034,FAILED_BREAKOUT,1000,0.59596
002370:20260623:541,STRUCTURE_FAIL,1000,0.117845
605369:20260623:1694,FAILED_BREAKOUT,1000,0.282828
002038:20260623:554,STRUCTURE_FAIL,1000,0.148148
603318:20260623:1169,STRUCTURE_FAIL,1000,0.148148
002427:20260624:474,FAILED_BREAKOUT,1000,0.3367
603203:20260624:7014,FAILED_BREAKOUT,1000,0.535354
