episode_id,symbol,candidate_date,outcome,CHECKPOINT,A_D0cum_vs_D1full,B_D0cum_vs_anchorfull,C_D0cum,D_D1full,E_anchorfull,D0cum_vs_median5,D1full_vs_median5,F_D0cum_vs_D1_sametime,D1_sametime_available
002490:20260611:856,002490,2026-06-12,STRUCTURE_FAIL,0945,0.4448,0.4448,47243000.0,106210130.0,106210130.0,0.8097610808012766,1.820477735555407,0.44506156231182176,True
600058:20260610:1034,600058,2026-06-12,NO_LAUNCH,0945,0.1787,0.8841,7761129.0,43435165.0,8778859.0,0.7622400547790165,4.265877110010105,0.17868307856088494,True
002428:20260611:8824,002428,2026-06-12,FAILED_BREAKOUT,0945,0.289,0.289,37727358.0,130552271.0,130552271.0,0.5335848575522133,1.8464244150001956,0.28962898032919154,True
603315:20260611:1650,603315,2026-06-12,FAILED_BREAKOUT,0945,0.3743,0.3743,5568900.0,14876572.0,14876572.0,0.3743402714012341,1.0,0.3743402714012341,True
600531:20260612:1309,600531,2026-06-15,NO_LAUNCH,0945,0.5597,0.5597,42508754.0,75948460.0,75948460.0,0.9898683043028654,1.7685527389161773,0.5597052790800499,True
002549:20260611:1815,002549,2026-06-15,STRUCTURE_FAIL,0945,0.1706,0.1773,12786132.0,74951419.0,72115096.0,0.3036577990052638,1.7800209575390986,0.1718419162619197,True
002637:20260612:1268,002637,2026-06-15,STRUCTURE_FAIL,0945,0.289,0.289,8126000.0,28117700.0,28117700.0,0.28899945585876513,1.0,0.2896990352872391,True
000815:20260610:1687,000815,2026-06-15,FAILED_BREAKOUT,0945,0.2132,0.1872,11358957.0,53288375.0,60681866.0,0.2131601310792457,1.0,0.215517644072639,True
001360:20260612:1874,001360,2026-06-15,FAILED_BREAKOUT,0945,0.3698,0.3698,2031913.0,5494695.0,5494695.0,0.521766584195599,1.4109601352748058,0.3703346003377261,True
002997:20260612:2938,002997,2026-06-15,FAILED_BREAKOUT,0945,0.3064,0.3064,2087300.0,6811400.0,6811400.0,0.37259907176008566,1.2158871831488753,0.3074939968474242,True
600667:20260611:1751,600667,2026-06-15,SUCCESS,0945,0.2331,0.2869,97315100.0,417539451.0,339185838.0,0.2869079103473654,1.2310049660740847,0.23306803648597027,True
002965:20260611:3854,002965,2026-06-15,SUCCESS,0945,0.1482,0.3315,5111275.0,34491623.0,15416933.0,0.33153643464624255,2.2372558147590054,0.14974722908555246,True
000969:20260612:2446,000969,2026-06-15,FAILED_BREAKOUT,0945,1.0301,1.0301,39604930.0,38445855.0,38445855.0,0.8877531297303815,0.8617722112224522,1.0372086595409,True
603519:20260612:1364,603519,2026-06-15,FAILED_BREAKOUT,0945,0.1901,0.1901,3798132.0,19984612.0,19984612.0,1.0237331809556667,5.386571718130067,0.19005282664482054,True
001206:20260612:1723,001206,2026-06-15,STRUCTURE_FAIL,0945,0.6729,0.6729,3667504.0,5450644.0,5450644.0,1.8524861928684788,2.753164755169024,0.6734871667550569,True
603318:20260611:985,603318,2026-06-15,SUCCESS,0945,0.1815,0.176,15296255.0,84269384.0,86904189.0,0.22263590402875774,1.2265348929386006,0.1815161601276212,True
002927:20260612:2017,002927,2026-06-15,FAILED_BREAKOUT,0945,1.368,1.368,7125323.0,5208472.0,5208472.0,0.6271132097059522,0.45840751269571645,1.38636505140895,True
600601:20260612:1289,600601,2026-06-15,FAILED_BREAKOUT,0945,0.2098,0.2098,77648186.0,370153795.0,370153795.0,0.4527914812520471,2.1584855199207946,0.2097727675600354,True
603936:20260611:2372,603936,2026-06-15,SUCCESS,0945,0.1443,0.2373,12406743.0,85964277.0,52285688.0,0.28011195318025994,1.940849547234024,0.14432440349611736,True
002208:20260610:1674,002208,2026-06-15,SUCCESS,0945,0.3458,0.4357,19555600.0,56545925.0,44883300.0,0.4281340812186264,1.2379695660850272,0.34763456204588794,True
600497:20260612:928,600497,2026-06-16,FAILED_BREAKOUT,0945,0.2088,0.5681,78712285.0,376944813.0,138549891.0,0.6610387345611815,3.165644628216817,0.20881646937531942,True
600539:20260612:1634,600539,2026-06-16,STRUCTURE_FAIL,0945,0.1596,0.2274,3903600.0,24452300.0,17168700.0,0.22736724387985113,1.424237129194406,0.1596414243240922,True
002745:20260615:1025,002745,2026-06-16,SUCCESS,0945,0.5452,0.5452,52175344.0,95692615.0,95692615.0,0.9609529850198409,1.7624436559269145,0.5452389821304392,True
000070:20260615:1881,000070,2026-06-16,SUCCESS,0945,0.4334,0.4334,52342681.0,120766983.0,120766983.0,0.5370486020404155,1.2390985359116133,0.43342239014441675,True
002174:20260615:1109,002174,2026-06-16,FAILED_BREAKOUT,0945,0.8419,0.8419,27094769.0,32182712.0,32182712.0,0.7055834981792171,0.8380802402801171,0.8419044672183003,True
000593:20260615:2267,000593,2026-06-16,FAILED_BREAKOUT,0945,0.2849,0.2849,7916200.0,27788852.0,27788852.0,0.3391077288392442,1.1903962114107638,0.2848696304546874,True
002106:20260615:1338,002106,2026-06-16,SUCCESS,0945,0.3124,0.3124,12173200.0,38963523.0,38963523.0,0.29462306136285454,0.9430184690748525,0.3124255473510442,True
000811:20260615:3385,000811,2026-06-16,FAILED_BREAKOUT,0945,0.3062,0.3062,14000836.0,45723446.0,45723446.0,0.4670027395746946,1.5251213959506142,0.30620692937273364,True
603993:20260612:1911,603993,2026-06-16,FAILED_BREAKOUT,0945,0.1946,0.3125,142294720.0,731318674.0,455323977.0,0.5298948497671877,2.723375813882405,0.1945727971387751,True
603052:20260615:9078,603052,2026-06-16,FAILED_BREAKOUT,0945,0.3113,0.3113,1672400.0,5372600.0,5372600.0,0.3469749856014925,1.1146602533141463,0.31128317760488405,True
600237:20260615:1068,600237,2026-06-16,SUCCESS,0945,0.8203,0.8203,38717437.0,47199450.0,47199450.0,0.4803441859184083,0.5855754704539615,0.820294240716788,True
002281:20260615:22547,002281,2026-06-16,FAILED_BREAKOUT,0945,0.2488,0.2488,14768748.0,59367293.0,59367293.0,0.34256918141339,1.3770568070996188,0.24877999453311414,True
603070:20260615:1604,603070,2026-06-16,FAILED_BREAKOUT,0945,1.9097,1.9097,7106200.0,3721105.0,3721105.0,1.1065572494121678,0.5794398853921736,1.9097015537051494,True
600520:20260615:2958,600520,2026-06-16,SUCCESS,0945,0.2748,0.2748,3554700.0,12937081.0,12937081.0,0.31672784945470095,1.1527087639888802,0.27476831906671995,True
002734:20260616:1639,002734,2026-06-17,SUCCESS,0945,0.2166,0.2166,6431710.0,29692354.0,29692354.0,0.4922054768899415,2.272294500304734,0.21661457511351392,True
002805:20260616:2420,002805,2026-06-17,FAILED_BREAKOUT,0945,0.4011,0.4011,12120294.0,30215493.0,30215493.0,0.44114667399855034,1.0997641014464237,0.4012957963993714,True
603950:20260615:6549,603950,2026-06-17,SUCCESS,0945,0.0942,0.1211,906420.0,9623055.0,7483540.0,0.14605543022881082,1.550605059619723,0.09419254072641173,True
002428:20260615:10149,002428,2026-06-17,FAILED_BREAKOUT,0945,0.2104,0.3099,30431503.0,144621308.0,98206147.0,0.23312398612736418,1.107887960706813,0.21051281737684405,True
002729:20260616:1947,002729,2026-06-17,FAILED_BREAKOUT,0945,0.2739,0.2739,2662700.0,9720530.0,9720530.0,0.3318370941205002,1.2114141392237752,0.2739648507633914,True
